# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
0.0119048    	0.000000e+00
0.0132083    	2.590016e-06
0.0145102    	3.202929e-07
0.0158137    	1.111011e-07
0.017119     	7.037774e-08
0.0184243    	6.592299e-08
0.0197278    	6.185545e-08
0.0210314    	5.922748e-08
0.0223332    	5.723885e-08
0.0236333    	5.576817e-08
0.0249317    	5.463149e-08
0.0262283    	5.380352e-08
0.0275249    	5.322319e-08
0.0288198    	5.275777e-08
0.0301147    	5.238901e-08
0.0314096    	5.213991e-08
0.0327046    	5.195951e-08
0.0339995    	5.176405e-08
0.0352944    	5.165911e-08
0.0365893    	5.156317e-08
0.0378842    	5.155852e-08
0.0391773    	5.143243e-08
0.0404705    	5.139825e-08
0.0417637    	5.134661e-08
0.0430551    	5.130093e-08
0.0443465    	5.123005e-08
0.0456362    	5.121160e-08
0.0469259    	5.119589e-08
0.0482138    	5.117865e-08
0.0495       	5.116895e-08
0.0507845    	5.114291e-08
0.0520689    	5.115130e-08
0.0533517    	5.113976e-08
0.0546327    	5.114812e-08
0.0559136    	5.115641e-08
0.0571929    	5.115877e-08
0.0584721    	5.115376e-08
0.0597497    	5.116393e-08
0.0610272    	5.117110e-08
0.0623029    	5.118384e-08
0.0635787    	5.121338e-08
0.0648545    	5.124357e-08
0.0661285    	5.126904e-08
0.0674026    	5.131286e-08
0.0686749    	5.134437e-08
0.0699472    	5.136134e-08
0.0712177    	5.137778e-08
0.0724866    	5.141384e-08
0.0737537    	5.144476e-08
0.0750208    	5.147479e-08
0.0762861    	5.150227e-08
0.0775498    	5.152474e-08
0.0788117    	5.155675e-08
0.0800718    	5.161609e-08
0.0813303    	5.158665e-08
0.082587     	5.152756e-08
0.083842     	5.155567e-08
0.0850953    	5.159603e-08
0.0863469    	5.162312e-08
0.0875968    	5.164962e-08
0.0888449    	5.167225e-08
0.0900914    	5.171121e-08
0.0913361    	5.174793e-08
0.0925792    	5.178037e-08
0.0938205    	5.182159e-08
0.0950602    	5.187355e-08
0.0962981    	5.192223e-08
0.097536     	5.197118e-08
0.0987723    	5.203775e-08
0.100007     	5.212681e-08
0.10124      	5.220122e-08
0.102471     	5.233808e-08
0.1037       	5.244808e-08
0.104927     	5.257989e-08
0.106151     	5.269121e-08
0.107374     	5.281272e-08
0.108595     	5.294607e-08
0.109814     	5.307004e-08
0.11103      	5.320832e-08
0.112245     	5.335203e-08
0.113458     	5.348701e-08
0.114669     	5.362798e-08
0.115878     	5.377355e-08
0.117086     	5.392081e-08
0.118292     	5.408376e-08
0.119497     	5.424647e-08
0.1207       	5.439930e-08
0.121901     	5.454274e-08
0.1231       	5.468981e-08
0.124298     	5.481925e-08
0.125495     	5.494160e-08
0.126689     	5.506622e-08
0.127882     	5.518831e-08
0.129074     	5.530220e-08
0.130264     	5.541084e-08
0.131452     	5.551540e-08
0.132638     	5.564180e-08
0.133823     	5.578700e-08
0.135007     	5.589787e-08
0.136187     	5.602190e-08
0.137365     	5.616462e-08
0.138542     	5.635782e-08
0.139717     	5.657271e-08
0.140891     	5.683079e-08
0.142063     	5.712388e-08
0.143233     	5.740933e-08
0.144402     	5.772603e-08
0.145571     	5.802324e-08
0.146738     	5.830869e-08
0.147904     	5.859854e-08
0.149068     	5.888527e-08
0.150232     	5.916590e-08
0.151395     	5.944081e-08
0.152555     	5.970579e-08
0.153716     	5.997881e-08
0.154876     	6.023081e-08
0.156035     	6.047952e-08
0.157193     	6.071287e-08
0.15835      	6.093033e-08
0.159506     	6.116198e-08
0.160662     	6.140592e-08
0.161817     	6.162925e-08
0.162972     	6.183893e-08
0.164124     	6.208112e-08
0.165277     	6.231398e-08
0.166429     	6.252379e-08
0.16758      	6.272263e-08
0.16873      	6.293093e-08
0.169878     	6.312647e-08
0.171026     	6.331372e-08
0.172173     	6.349208e-08
0.173319     	6.366680e-08
0.174464     	6.383683e-08
0.175609     	6.399680e-08
0.176753     	6.414099e-08
0.177896     	6.427896e-08
0.179038     	6.440329e-08
0.18018      	6.453215e-08
0.18132      	6.464441e-08
0.18246      	6.475728e-08
0.1836       	6.487736e-08
0.184739     	6.499080e-08
0.185878     	6.509841e-08
0.187016     	6.520108e-08
0.188153     	6.530135e-08
0.18929      	6.536249e-08
0.190427     	6.543356e-08
0.191564     	6.548786e-08
0.192701     	6.552626e-08
0.193837     	6.555175e-08
0.194972     	6.560321e-08
0.196108     	6.566930e-08
0.197243     	6.567295e-08
0.198377     	6.568156e-08
0.199511     	6.569827e-08
0.200645     	6.571983e-08
0.201779     	6.577812e-08
0.202912     	6.582362e-08
0.204045     	6.585391e-08
0.205175     	6.587408e-08
0.206304     	6.594786e-08
0.207433     	6.599993e-08
0.208561     	6.603732e-08
0.209687     	6.606730e-08
0.210811     	6.608996e-08
0.211935     	6.610480e-08
0.213058     	6.615636e-08
0.214179     	6.619093e-08
0.2153       	6.621275e-08
0.216419     	6.622084e-08
0.217538     	6.630171e-08
0.218656     	6.636710e-08
0.219772     	6.642966e-08
0.220889     	6.650961e-08
0.222003     	6.655690e-08
0.223116     	6.662329e-08
0.224228     	6.666026e-08
0.225337     	6.670660e-08
0.226446     	6.678741e-08
0.227552     	6.687256e-08
0.228657     	6.693504e-08
0.229761     	6.700627e-08
0.230864     	6.707329e-08
0.231966     	6.711953e-08
0.233068     	6.720624e-08
0.234169     	6.733544e-08
0.235267     	6.733981e-08
0.236364     	6.720479e-08
0.237458     	6.702979e-08
0.238551     	6.700760e-08
0.239642     	6.698649e-08
0.240731     	6.699249e-08
0.241821     	6.703470e-08
0.242908     	6.708313e-08
0.243995     	6.709041e-08
0.245081     	6.711812e-08
0.246165     	6.714679e-08
0.24725      	6.718515e-08
0.248335     	6.718427e-08
0.249419     	6.720850e-08
0.250502     	6.721819e-08
0.251584     	6.725395e-08
0.252664     	6.733351e-08
0.253744     	6.741833e-08
0.254822     	6.755651e-08
0.255901     	6.772983e-08
0.256979     	6.800390e-08
0.258058     	6.821388e-08
0.259136     	6.831947e-08
0.260211     	6.840830e-08
0.261285     	6.859732e-08
0.262352     	6.867229e-08
0.263414     	6.878284e-08
0.264469     	6.884108e-08
0.265518     	6.899537e-08
0.266562     	6.921999e-08
0.267599     	6.946486e-08
0.268631     	6.965990e-08
0.269658     	6.988011e-08
0.270679     	7.006588e-08
0.271695     	7.023534e-08
0.272707     	7.041212e-08
0.273714     	7.062341e-08
0.274716     	7.082393e-08
0.275713     	7.103374e-08
0.276707     	7.117755e-08
0.277696     	7.132792e-08
0.278683     	7.148576e-08
0.279666     	7.162212e-08
0.280644     	7.175879e-08
0.281621     	7.190103e-08
0.282594     	7.201513e-08
0.283565     	7.214022e-08
0.284533     	7.228658e-08
0.285498     	7.250840e-08
0.286463     	7.268524e-08
0.287424     	7.290185e-08
0.288385     	7.306037e-08
0.289344     	7.325812e-08
0.290301     	7.343224e-08
0.291258     	7.360681e-08
0.292214     	7.370877e-08
0.29317      	7.378495e-08
0.294125     	7.393910e-08
0.295079     	7.409623e-08
0.29603      	7.417133e-08
0.296979     	7.430622e-08
0.297926     	7.441776e-08
0.298872     	7.453896e-08
0.299816     	7.463553e-08
0.300758     	7.464824e-08
0.301701     	7.466618e-08
0.302642     	7.470036e-08
0.303582     	7.481355e-08
0.304522     	7.484706e-08
0.305461     	7.487823e-08
0.3064       	7.487940e-08
0.307338     	7.486695e-08
0.308278     	7.497765e-08
0.309218     	7.509868e-08
0.310158     	7.523394e-08
0.311099     	7.535684e-08
0.312042     	7.541324e-08
0.312983     	7.544695e-08
0.313922     	7.546450e-08
0.314862     	7.555159e-08
0.315802     	7.556860e-08
0.316742     	7.545411e-08
0.317682     	7.548091e-08
0.318622     	7.558786e-08
0.319561     	7.570267e-08
0.320503     	7.577378e-08
0.321444     	7.583854e-08
0.322386     	7.583264e-08
0.323329     	7.582995e-08
0.32427      	7.578278e-08
0.325212     	7.574080e-08
0.326155     	7.571263e-08
0.327097     	7.566272e-08
0.328039     	7.561648e-08
0.328983     	7.555014e-08
0.329927     	7.546678e-08
0.330872     	7.536284e-08
0.331819     	7.529996e-08
0.332766     	7.521073e-08
0.333715     	7.514888e-08
0.334665     	7.505649e-08
0.335614     	7.492126e-08
0.336563     	7.479287e-08
0.337512     	7.469363e-08
0.338461     	7.456656e-08
0.339412     	7.445919e-08
0.340362     	7.432746e-08
0.341314     	7.427864e-08
0.342266     	7.421978e-08
0.343219     	7.421442e-08
0.344174     	7.422450e-08
0.34513      	7.414939e-08
0.346087     	7.393292e-08
0.347046     	7.383799e-08
0.348005     	7.369242e-08
0.348965     	7.355022e-08
0.349925     	7.342607e-08
0.350887     	7.329058e-08
0.35185      	7.318138e-08
0.352813     	7.310320e-08
0.353777     	7.296155e-08
0.354743     	7.280123e-08
0.355711     	7.264946e-08
0.35668      	7.251805e-08
0.35765      	7.237604e-08
0.358622     	7.225050e-08
0.359594     	7.209204e-08
0.360567     	7.200537e-08
0.36154      	7.185045e-08
0.362513     	7.170106e-08
0.363488     	7.151797e-08
0.364463     	7.142876e-08
0.365439     	7.130386e-08
0.366415     	7.116450e-08
0.367393     	7.106436e-08
0.368371     	7.097638e-08
0.36935      	7.091302e-08
0.370329     	7.081056e-08
0.37131      	7.071698e-08
0.372291     	7.058695e-08
0.373273     	7.046860e-08
0.374257     	7.037727e-08
0.375243     	7.029794e-08
0.376228     	7.023504e-08
0.377213     	7.012514e-08
0.378199     	7.002162e-08
0.379186     	6.993934e-08
0.380173     	6.986346e-08
0.38116      	6.976352e-08
0.382148     	6.971279e-08
0.383137     	6.962152e-08
0.384127     	6.954206e-08
0.385117     	6.945201e-08
0.386109     	6.934161e-08
0.387102     	6.926116e-08
0.388097     	6.908389e-08
0.389092     	6.894864e-08
0.390089     	6.885500e-08
0.391085     	6.875476e-08
0.392082     	6.865802e-08
0.393079     	6.856122e-08
0.394077     	6.850580e-08
0.395075     	6.848120e-08
0.396073     	6.846656e-08
0.397073     	6.845639e-08
0.398073     	6.845708e-08
0.399075     	6.844894e-08
0.400076     	6.848434e-08
0.401078     	6.849816e-08
0.402081     	6.854168e-08
0.403084     	6.859761e-08
0.404087     	6.864538e-08
0.405091     	6.870614e-08
0.406095     	6.871359e-08
0.4071       	6.871728e-08
0.408107     	6.870053e-08
0.409114     	6.869335e-08
0.410122     	6.864673e-08
0.41113      	6.862358e-08
0.41214      	6.863546e-08
0.413152     	6.865000e-08
0.414166     	6.859712e-08
0.415178     	6.856136e-08
0.416188     	6.852634e-08
0.417196     	6.846587e-08
0.418202     	6.843169e-08
0.419207     	6.842799e-08
0.42021      	6.835781e-08
0.421214     	6.831147e-08
0.422215     	6.827408e-08
0.423214     	6.826908e-08
0.424214     	6.825903e-08
0.425212     	6.829087e-08
0.42621      	6.830611e-08
0.427208     	6.831708e-08
0.428204     	6.828182e-08
0.4292       	6.822548e-08
0.430196     	6.828793e-08
0.431192     	6.830172e-08
0.432189     	6.831092e-08
0.433185     	6.831408e-08
0.434181     	6.831332e-08
0.435177     	6.830244e-08
0.436173     	6.827772e-08
0.437171     	6.823981e-08
0.438169     	6.820540e-08
0.439167     	6.823532e-08
0.440167     	6.823130e-08
0.441166     	6.823251e-08
0.442166     	6.819170e-08
0.443168     	6.818502e-08
0.444169     	6.815785e-08
0.445172     	6.812774e-08
0.446176     	6.814025e-08
0.447181     	6.813011e-08
0.448186     	6.811259e-08
0.449191     	6.810264e-08
0.450198     	6.805714e-08
0.451205     	6.800626e-08
0.452212     	6.798568e-08
0.453221     	6.798713e-08
0.45423      	6.795133e-08
0.455238     	6.791092e-08
0.456249     	6.787298e-08
0.45726      	6.784770e-08
0.458272     	6.783407e-08
0.459285     	6.777349e-08
0.460299     	6.773542e-08
0.461316     	6.768054e-08
0.462332     	6.759569e-08
0.463351     	6.754217e-08
0.464371     	6.745330e-08
0.465391     	6.735823e-08
0.466413     	6.730260e-08
0.467437     	6.726240e-08
0.468464     	6.722240e-08
0.46949      	6.718725e-08
0.470518     	6.715984e-08
0.471546     	6.710461e-08
0.472576     	6.706450e-08
0.473606     	6.701586e-08
0.474636     	6.695838e-08
0.475668     	6.687233e-08
0.476701     	6.681043e-08
0.477733     	6.678618e-08
0.478765     	6.674471e-08
0.479799     	6.670767e-08
0.480833     	6.667309e-08
0.481867     	6.666841e-08
0.482904     	6.663893e-08
0.48394      	6.661024e-08
0.484978     	6.655027e-08
0.486017     	6.651083e-08
0.487057     	6.647404e-08
