# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0132083    	-1.488925e-22
0.0145102    	-1.282130e-23
0.0158137    	-1.861156e-24
0.017119     	1.836599e-23
0.0184243    	-1.346753e-23
0.0197278    	6.824240e-24
0.0210314    	-9.783996e-24
0.0223332    	2.126961e-23
0.0236333    	9.124836e-24
0.0249317    	-1.164515e-23
0.0262283    	-9.331631e-24
0.0275249    	9.654749e-24
0.0288198    	-9.047288e-24
0.0301147    	8.194258e-24
0.0314096    	-1.233016e-23
0.0327046    	4.148828e-24
0.0339995    	6.410650e-24
0.0352944    	-1.439811e-23
0.0365893    	-3.101927e-24
0.0378842    	3.231174e-24
0.0391773    	-2.080876e-23
0.0404705    	-2.018838e-23
0.0417637    	3.774012e-24
0.0430551    	-9.254083e-24
0.0443465    	-8.194258e-24
0.0456362    	-5.428373e-24
0.0469259    	-4.316849e-24
0.0482138    	-1.059825e-23
0.0495       	1.163223e-23
0.0507845    	-3.799861e-24
0.0520689    	8.530300e-24
0.0533517    	-4.084204e-24
0.0546327    	-1.866326e-23
0.0559136    	1.550964e-25
0.0571929    	1.832722e-23
0.0584721    	-1.576813e-24
0.0597497    	1.602662e-24
0.0610272    	9.279932e-24
0.0623029    	-5.169879e-25
0.0635787    	-5.428373e-25
0.0648545    	0.000000e+00
0.0661285    	-1.439811e-23
0.0674026    	2.972680e-24
0.0686749    	9.047288e-24
0.0699472    	4.032505e-24
0.0712177    	-8.271806e-25
0.0724866    	6.720842e-24
0.0737537    	-1.644021e-23
0.0750208    	-1.457906e-23
0.0762861    	-1.370018e-23
0.0775498    	-8.245957e-24
0.0788117    	3.039889e-23
0.0800718    	-1.550964e-24
0.0813303    	-6.824240e-24
0.082587     	-1.607832e-23
0.083842     	2.998530e-24
0.0850953    	-3.360421e-24
0.0863469    	-1.111524e-24
0.0875968    	-1.238186e-23
0.0888449    	2.067952e-25
0.0900914    	-5.376674e-24
0.0913361    	4.110054e-24
0.0925792    	-8.323505e-24
0.0938205    	9.512577e-24
0.0950602    	-9.357481e-24
0.0962981    	6.307252e-24
0.097536     	-1.778438e-23
0.0987723    	-1.152883e-23
0.100007     	-1.059825e-23
0.10124      	1.739664e-23
0.102471     	-2.998530e-24
0.1037       	-3.618915e-24
0.104927     	1.261450e-23
0.106151     	-2.016253e-24
0.107374     	8.271806e-25
