# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phiSub)
10.0024      	3.056582e-08
10.0048      	3.092115e-08
10.0073      	3.086584e-08
10.0097      	3.085615e-08
10.0121      	3.084216e-08
10.0145      	3.082999e-08
10.0169      	3.081734e-08
10.0194      	3.080680e-08
10.0218      	3.079983e-08
10.0242      	3.079460e-08
10.0266      	3.078849e-08
10.0291      	3.078046e-08
10.0315      	3.077297e-08
10.0339      	3.076382e-08
10.0363      	3.075345e-08
10.0387      	3.074478e-08
10.0412      	3.073843e-08
10.0436      	3.073420e-08
10.046       	3.073388e-08
10.0484      	3.072777e-08
10.0508      	3.072220e-08
10.0533      	3.071551e-08
10.0557      	3.070917e-08
10.0581      	3.070263e-08
10.0605      	3.069618e-08
10.063       	3.068963e-08
10.0654      	3.068314e-08
10.0678      	3.067656e-08
10.0702      	3.067005e-08
10.0726      	3.066329e-08
10.0751      	3.065703e-08
10.0775      	3.064980e-08
10.0799      	3.064357e-08
10.0823      	3.063698e-08
10.0847      	3.063029e-08
10.0872      	3.062368e-08
10.0896      	3.061690e-08
10.092       	3.061013e-08
10.0944      	3.060326e-08
10.0969      	3.059656e-08
10.0993      	3.058969e-08
10.1017      	3.058274e-08
10.1041      	3.057578e-08
10.1065      	3.056881e-08
10.109       	3.056178e-08
10.1114      	3.055478e-08
10.1138      	3.054771e-08
10.1162      	3.054063e-08
10.1186      	3.053362e-08
10.1211      	3.052644e-08
10.1235      	3.051966e-08
10.1259      	3.051319e-08
10.1283      	3.050504e-08
10.1308      	3.049896e-08
10.1332      	3.049063e-08
10.1356      	3.048441e-08
10.138       	3.047602e-08
10.1404      	3.046969e-08
10.1429      	3.046164e-08
10.1453      	3.045423e-08
10.1477      	3.044740e-08
10.1501      	3.043964e-08
10.1525      	3.043196e-08
10.155       	3.042458e-08
10.1574      	3.041717e-08
10.1598      	3.040941e-08
10.1622      	3.040175e-08
10.1646      	3.039395e-08
10.1671      	3.038601e-08
10.1695      	3.037732e-08
10.1719      	3.036844e-08
10.1743      	3.035706e-08
10.1768      	3.034552e-08
10.1792      	3.033241e-08
10.1816      	3.032123e-08
10.184       	3.031398e-08
10.1864      	3.031008e-08
10.1889      	3.031205e-08
10.1913      	3.030979e-08
10.1937      	3.030284e-08
10.1961      	3.029620e-08
10.1985      	3.028887e-08
10.201       	3.028145e-08
10.2034      	3.027388e-08
10.2058      	3.026647e-08
10.2082      	3.025920e-08
10.2107      	3.025154e-08
10.2131      	3.024390e-08
10.2155      	3.023619e-08
10.2179      	3.022851e-08
10.2203      	3.022076e-08
10.2228      	3.021302e-08
10.2252      	3.020523e-08
10.2276      	3.019743e-08
10.23        	3.018971e-08
10.2324      	3.018195e-08
10.2349      	3.017419e-08
10.2373      	3.016636e-08
