# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
10.0024      	6.623110e-11
10.0048      	6.723105e-11
10.0073      	6.757124e-11
10.0097      	6.749282e-11
10.0121      	6.747510e-11
10.0145      	6.746318e-11
10.0169      	6.745897e-11
10.0194      	6.744967e-11
10.0218      	6.742739e-11
10.0242      	6.740274e-11
10.0266      	6.738626e-11
10.0291      	6.738512e-11
10.0315      	6.738502e-11
10.0339      	6.738685e-11
10.0363      	6.739718e-11
10.0387      	6.740404e-11
10.0412      	6.741129e-11
10.0436      	6.742908e-11
10.046       	6.743409e-11
10.0484      	6.744338e-11
10.0508      	6.744064e-11
10.0533      	6.745131e-11
10.0557      	6.745750e-11
10.0581      	6.746603e-11
10.0605      	6.747355e-11
10.063       	6.748211e-11
10.0654      	6.748985e-11
10.0678      	6.749783e-11
10.0702      	6.750612e-11
10.0726      	6.751509e-11
10.0751      	6.752277e-11
10.0775      	6.752642e-11
10.0799      	6.753773e-11
10.0823      	6.754164e-11
10.0847      	6.754980e-11
10.0872      	6.755764e-11
10.0896      	6.756660e-11
10.092       	6.757511e-11
10.0944      	6.758353e-11
10.0969      	6.759217e-11
10.0993      	6.759999e-11
10.1017      	6.760791e-11
10.1041      	6.761559e-11
10.1065      	6.762307e-11
10.109       	6.763143e-11
10.1114      	6.763974e-11
10.1138      	6.764862e-11
10.1162      	6.765782e-11
10.1186      	6.766834e-11
10.1211      	6.767932e-11
10.1235      	6.770173e-11
10.1259      	6.772842e-11
10.1283      	6.777574e-11
10.1308      	6.780213e-11
10.1332      	6.781952e-11
10.1356      	6.777791e-11
10.138       	6.773636e-11
10.1404      	6.772666e-11
10.1429      	6.773333e-11
10.1453      	6.773885e-11
10.1477      	6.774660e-11
10.1501      	6.775450e-11
10.1525      	6.776344e-11
10.155       	6.778033e-11
10.1574      	6.779302e-11
10.1598      	6.780231e-11
10.1622      	6.779485e-11
10.1646      	6.778797e-11
