# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phiSub)
10.0024      	3.063205e-08
10.0048      	3.098838e-08
10.0073      	3.093341e-08
10.0097      	3.092364e-08
10.0121      	3.090964e-08
10.0145      	3.089746e-08
10.0169      	3.088480e-08
10.0194      	3.087425e-08
10.0218      	3.086726e-08
10.0242      	3.086200e-08
10.0266      	3.085587e-08
10.0291      	3.084785e-08
10.0315      	3.084035e-08
10.0339      	3.083121e-08
10.0363      	3.082084e-08
10.0387      	3.081218e-08
10.0412      	3.080584e-08
10.0436      	3.080163e-08
10.046       	3.080131e-08
10.0484      	3.079521e-08
10.0508      	3.078965e-08
10.0533      	3.078296e-08
10.0557      	3.077663e-08
10.0581      	3.077009e-08
10.0605      	3.076366e-08
10.063       	3.075711e-08
10.0654      	3.075063e-08
10.0678      	3.074406e-08
10.0702      	3.073755e-08
10.0726      	3.073081e-08
10.0751      	3.072456e-08
10.0775      	3.071732e-08
10.0799      	3.071111e-08
10.0823      	3.070452e-08
10.0847      	3.069784e-08
10.0872      	3.069123e-08
10.0896      	3.068447e-08
10.092       	3.067770e-08
10.0944      	3.067085e-08
10.0969      	3.066415e-08
10.0993      	3.065729e-08
10.1017      	3.065035e-08
10.1041      	3.064340e-08
10.1065      	3.063643e-08
10.109       	3.062941e-08
10.1114      	3.062242e-08
10.1138      	3.061535e-08
10.1162      	3.060829e-08
10.1186      	3.060128e-08
10.1211      	3.059412e-08
10.1235      	3.058736e-08
10.1259      	3.058092e-08
10.1283      	3.057282e-08
10.1308      	3.056676e-08
10.1332      	3.055845e-08
10.1356      	3.055219e-08
10.138       	3.054375e-08
10.1404      	3.053742e-08
10.1429      	3.052938e-08
10.1453      	3.052197e-08
10.1477      	3.051515e-08
10.1501      	3.050740e-08
10.1525      	3.049972e-08
10.155       	3.049236e-08
10.1574      	3.048497e-08
10.1598      	3.047722e-08
10.1622      	3.046955e-08
10.1646      	3.046174e-08
10.1671      	3.045380e-08
10.1695      	3.044512e-08
10.1719      	3.043624e-08
10.1743      	3.042487e-08
10.1768      	3.041334e-08
10.1792      	3.040023e-08
10.1816      	3.038907e-08
10.184       	3.038183e-08
10.1864      	3.037796e-08
10.1889      	3.037994e-08
10.1913      	3.037768e-08
10.1937      	3.037072e-08
10.1961      	3.036408e-08
10.1985      	3.035676e-08
10.201       	3.034934e-08
10.2034      	3.034178e-08
10.2058      	3.033437e-08
10.2082      	3.032711e-08
10.2107      	3.031945e-08
10.2131      	3.031183e-08
10.2155      	3.030413e-08
10.2179      	3.029645e-08
10.2203      	3.028871e-08
10.2228      	3.028098e-08
10.2252      	3.027319e-08
10.2276      	3.026540e-08
10.23        	3.025769e-08
10.2324      	3.024993e-08
10.2349      	3.024218e-08
10.2373      	3.023436e-08
10.2397      	3.022651e-08
10.2421      	3.021854e-08
10.2446      	3.021074e-08
10.247       	3.020281e-08
10.2494      	3.019510e-08
10.2518      	3.018697e-08
10.2542      	3.017894e-08
10.2567      	3.017076e-08
10.2591      	3.016266e-08
10.2615      	3.015529e-08
10.2639      	3.014786e-08
10.2663      	3.013949e-08
10.2688      	3.013158e-08
10.2712      	3.012343e-08
10.2736      	3.011471e-08
10.276       	3.010477e-08
10.2785      	3.009453e-08
10.2809      	3.008342e-08
10.2833      	3.007508e-08
10.2857      	3.006996e-08
10.2881      	3.006742e-08
10.2906      	3.006037e-08
10.293       	3.005326e-08
10.2954      	3.004573e-08
10.2978      	3.003828e-08
10.3002      	3.003076e-08
10.3027      	3.002330e-08
10.3051      	3.001561e-08
10.3075      	3.000791e-08
10.3099      	3.000049e-08
10.3123      	2.999241e-08
10.3148      	2.998488e-08
10.3172      	2.997712e-08
10.3196      	2.996930e-08
10.322       	2.996148e-08
10.3245      	2.995361e-08
10.3269      	2.994592e-08
10.3293      	2.993837e-08
10.3317      	2.993039e-08
10.3341      	2.992252e-08
10.3366      	2.991468e-08
10.339       	2.990683e-08
10.3414      	2.989924e-08
10.3438      	2.989170e-08
10.3462      	2.988381e-08
10.3487      	2.987597e-08
10.3511      	2.986835e-08
10.3535      	2.986054e-08
10.3559      	2.985265e-08
10.3584      	2.984505e-08
10.3608      	2.983752e-08
10.3632      	2.982960e-08
