# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
10.0024      	7.273339e-09
10.0048      	7.204647e-09
10.0073      	7.286788e-09
10.0097      	7.278019e-09
10.0121      	7.275383e-09
10.0145      	7.272286e-09
10.0169      	7.269635e-09
10.0194      	7.266951e-09
10.0218      	7.266702e-09
10.0242      	7.267419e-09
10.0266      	7.263167e-09
10.0291      	7.260211e-09
10.0315      	7.258417e-09
10.0339      	7.256747e-09
10.0363      	7.254783e-09
10.0387      	7.252599e-09
10.0412      	7.250769e-09
10.0436      	7.249387e-09
10.046       	7.248380e-09
10.0484      	7.248098e-09
10.0508      	7.246704e-09
10.0533      	7.245404e-09
10.0557      	7.243898e-09
10.0581      	7.242464e-09
10.0605      	7.240996e-09
10.063       	7.239549e-09
10.0654      	7.238081e-09
10.0678      	7.236626e-09
10.0702      	7.235151e-09
10.0726      	7.233691e-09
10.0751      	7.232186e-09
10.0775      	7.230781e-09
10.0799      	7.229184e-09
10.0823      	7.227774e-09
10.0847      	7.226306e-09
10.0872      	7.224812e-09
10.0896      	7.223336e-09
10.092       	7.221824e-09
10.0944      	7.220312e-09
10.0969      	7.218779e-09
10.0993      	7.217273e-09
10.1017      	7.215730e-09
10.1041      	7.214181e-09
10.1065      	7.212625e-09
10.109       	7.211062e-09
10.1114      	7.209486e-09
10.1138      	7.207915e-09
10.1162      	7.206340e-09
10.1186      	7.204777e-09
10.1211      	7.203233e-09
10.1235      	7.201690e-09
10.1259      	7.200264e-09
10.1283      	7.199018e-09
10.1308      	7.197510e-09
10.1332      	7.196387e-09
10.1356      	7.194677e-09
10.138       	7.193049e-09
10.1404      	7.190715e-09
10.1429      	7.189025e-09
10.1453      	7.187116e-09
10.1477      	7.185403e-09
10.1501      	7.183837e-09
10.1525      	7.182129e-09
10.155       	7.180473e-09
10.1574      	7.178915e-09
10.1598      	7.177372e-09
10.1622      	7.175723e-09
10.1646      	7.174008e-09
10.1671      	7.172124e-09
10.1695      	7.170342e-09
10.1719      	7.168470e-09
10.1743      	7.166640e-09
10.1768      	7.164462e-09
10.1792      	7.162356e-09
10.1816      	7.159988e-09
10.184       	7.157860e-09
10.1864      	7.156189e-09
10.1889      	7.155098e-09
10.1913      	7.155060e-09
10.1937      	7.154200e-09
10.1961      	7.152469e-09
10.1985      	7.150844e-09
10.201       	7.149142e-09
10.2034      	7.147433e-09
10.2058      	7.145719e-09
10.2082      	7.144030e-09
10.2107      	7.142385e-09
10.2131      	7.140658e-09
10.2155      	7.138942e-09
10.2179      	7.137218e-09
10.2203      	7.135501e-09
10.2228      	7.133773e-09
10.2252      	7.132048e-09
10.2276      	7.130310e-09
10.23        	7.128574e-09
10.2324      	7.126852e-09
10.2349      	7.125069e-09
10.2373      	7.123288e-09
10.2397      	7.121517e-09
10.2421      	7.119739e-09
10.2446      	7.117945e-09
10.247       	7.116190e-09
10.2494      	7.114405e-09
10.2518      	7.112636e-09
10.2542      	7.110973e-09
10.2567      	7.109355e-09
10.2591      	7.107550e-09
10.2615      	7.105540e-09
10.2639      	7.103772e-09
10.2663      	7.102115e-09
10.2688      	7.100324e-09
10.2712      	7.098681e-09
10.2736      	7.096978e-09
10.276       	7.095156e-09
10.2785      	7.093144e-09
10.2809      	7.091116e-09
10.2833      	7.088927e-09
10.2857      	7.087180e-09
10.2881      	7.085943e-09
10.2906      	7.085099e-09
10.293       	7.083468e-09
10.2954      	7.081858e-09
10.2978      	7.080180e-09
10.3002      	7.078533e-09
10.3027      	7.076887e-09
10.3051      	7.075247e-09
10.3075      	7.073564e-09
10.3099      	7.071885e-09
10.3123      	7.070263e-09
10.3148      	7.068522e-09
10.3172      	7.066866e-09
10.3196      	7.065178e-09
10.322       	7.063472e-09
10.3245      	7.061766e-09
10.3269      	7.060047e-09
10.3293      	7.058367e-09
10.3317      	7.056718e-09
10.3341      	7.054974e-09
10.3366      	7.053257e-09
10.339       	7.051542e-09
10.3414      	7.049829e-09
10.3438      	7.048170e-09
10.3462      	7.046525e-09
10.3487      	7.044805e-09
10.3511      	7.043133e-09
10.3535      	7.041509e-09
10.3559      	7.039844e-09
10.3584      	7.038129e-09
10.3608      	7.036467e-09
10.3632      	7.034844e-09
10.3656      	7.033143e-09
10.368       	7.031498e-09
10.3705      	7.029790e-09
10.3729      	7.028106e-09
10.3753      	7.026427e-09
10.3777      	7.024761e-09
10.3801      	7.023073e-09
10.3826      	7.021424e-09
10.385       	7.019703e-09
10.3874      	7.018045e-09
10.3898      	7.016368e-09
10.3923      	7.014744e-09
10.3947      	7.013256e-09
10.3971      	7.011696e-09
10.3995      	7.010101e-09
10.4019      	7.008592e-09
10.4044      	7.006978e-09
10.4068      	7.005272e-09
10.4092      	7.003746e-09
10.4116      	7.002083e-09
10.414       	7.000450e-09
10.4165      	6.998809e-09
10.4189      	6.997200e-09
10.4213      	6.995587e-09
10.4237      	6.993930e-09
10.4262      	6.992273e-09
10.4286      	6.990645e-09
10.431       	6.989011e-09
10.4334      	6.987368e-09
10.4358      	6.985719e-09
10.4383      	6.984084e-09
10.4407      	6.982492e-09
10.4431      	6.980901e-09
10.4455      	6.979295e-09
10.4479      	6.977699e-09
10.4504      	6.976112e-09
10.4528      	6.974622e-09
10.4552      	6.973062e-09
10.4576      	6.971534e-09
10.46        	6.969990e-09
10.4625      	6.968450e-09
10.4649      	6.966882e-09
10.4673      	6.965296e-09
10.4697      	6.963714e-09
10.4722      	6.962131e-09
10.4746      	6.960537e-09
10.477       	6.958995e-09
10.4794      	6.957375e-09
10.4818      	6.955750e-09
10.4843      	6.954172e-09
10.4867      	6.952626e-09
10.4891      	6.951043e-09
10.4915      	6.949473e-09
10.4939      	6.947892e-09
10.4964      	6.946328e-09
10.4988      	6.944762e-09
10.5012      	6.943170e-09
10.5036      	6.941584e-09
10.5061      	6.940017e-09
10.5085      	6.938455e-09
10.5109      	6.936895e-09
10.5133      	6.935334e-09
10.5157      	6.933785e-09
10.5182      	6.932224e-09
10.5206      	6.930669e-09
10.523       	6.929117e-09
10.5254      	6.927552e-09
10.5278      	6.926026e-09
10.5303      	6.924499e-09
10.5327      	6.922959e-09
10.5351      	6.921460e-09
10.5375      	6.919940e-09
10.54        	6.918423e-09
10.5424      	6.916913e-09
10.5448      	6.915401e-09
10.5472      	6.913836e-09
10.5496      	6.912314e-09
10.5521      	6.910764e-09
10.5545      	6.909237e-09
10.5569      	6.907696e-09
10.5593      	6.906179e-09
10.5617      	6.904656e-09
10.5642      	6.903132e-09
10.5666      	6.901624e-09
10.569       	6.900115e-09
10.5714      	6.898603e-09
10.5738      	6.897085e-09
10.5763      	6.895562e-09
10.5787      	6.894065e-09
10.5811      	6.892597e-09
10.5835      	6.891122e-09
10.586       	6.889629e-09
10.5884      	6.888144e-09
10.5908      	6.886667e-09
10.5932      	6.885181e-09
10.5956      	6.883689e-09
10.5981      	6.882219e-09
10.6005      	6.880728e-09
10.6029      	6.879247e-09
10.6053      	6.877769e-09
10.6077      	6.876266e-09
10.6102      	6.874725e-09
10.6126      	6.873239e-09
10.615       	6.871753e-09
10.6174      	6.870281e-09
10.6199      	6.868822e-09
10.6223      	6.867366e-09
10.6247      	6.865921e-09
10.6271      	6.864480e-09
10.6295      	6.863035e-09
10.632       	6.861596e-09
10.6344      	6.860158e-09
10.6368      	6.858722e-09
