# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phiSub)
0.0119048    	8.662226e-06
0.0136413    	6.253687e-07
0.0153687    	3.506333e-07
0.0170962    	1.890746e-07
0.0188297    	1.668699e-07
0.0205632    	1.503298e-07
0.0222967    	1.396587e-07
0.0240302    	1.320811e-07
0.0257607    	1.267261e-07
0.027488     	1.227645e-07
0.0292154    	1.197471e-07
0.0309397    	1.174007e-07
0.032664     	1.156074e-07
0.0343883    	1.140513e-07
0.0361126    	1.129965e-07
0.0378339    	1.122269e-07
0.0395551    	1.115203e-07
0.0412763    	1.110756e-07
0.0429975    	1.107826e-07
0.0447188    	1.105736e-07
0.04644      	1.103209e-07
0.0481612    	1.102205e-07
0.0498794    	1.101615e-07
0.0515975    	1.100772e-07
0.0533156    	1.100473e-07
0.0550306    	1.100327e-07
0.0567456    	1.100226e-07
0.0584575    	1.099235e-07
0.0601694    	1.099074e-07
0.0618782    	1.099361e-07
0.063587     	1.100080e-07
0.0652926    	1.099752e-07
0.0669983    	1.099936e-07
0.0687009    	1.099658e-07
0.0704034    	1.101098e-07
0.072106     	1.102267e-07
0.0738054    	1.102718e-07
0.0755049    	1.103119e-07
0.0772043    	1.103487e-07
0.0789006    	1.103457e-07
0.0805969    	1.103201e-07
0.0822932    	1.102753e-07
0.0839896    	1.102799e-07
0.0856827    	1.103108e-07
0.0873759    	1.103167e-07
0.0890691    	1.103299e-07
0.0907591    	1.103293e-07
0.0924492    	1.103448e-07
0.0941361    	1.103936e-07
0.095823     	1.102642e-07
0.0975067    	1.100909e-07
0.0991905    	1.099698e-07
0.100871     	1.098932e-07
0.102549     	1.098581e-07
0.104226     	1.097879e-07
0.1059       	1.096934e-07
0.107572     	1.096104e-07
0.109243     	1.095304e-07
0.110911     	1.094673e-07
0.112576     	1.094817e-07
0.114241     	1.095276e-07
0.115903     	1.096110e-07
0.117561     	1.096765e-07
0.11922      	1.097501e-07
0.120876     	1.098435e-07
0.122528     	1.099496e-07
0.124181     	1.100451e-07
0.12583      	1.101044e-07
0.127479     	1.102221e-07
0.129126     	1.102829e-07
0.130769     	1.103937e-07
0.132412     	1.104621e-07
0.134052     	1.105659e-07
0.135689     	1.106847e-07
0.137326     	1.108509e-07
0.13896      	1.110066e-07
0.140591     	1.111766e-07
0.142218     	1.113374e-07
0.143846     	1.114841e-07
0.145471     	1.116272e-07
0.147092     	1.117826e-07
0.14871      	1.119494e-07
0.150329     	1.121225e-07
0.151944     	1.122703e-07
0.153556     	1.124416e-07
0.155169     	1.126219e-07
0.156778     	1.127845e-07
0.158387     	1.129227e-07
0.159993     	1.131015e-07
0.161596     	1.132760e-07
0.163199     	1.134345e-07
0.164799     	1.135965e-07
0.166399     	1.137518e-07
0.167996     	1.139144e-07
0.169593     	1.140689e-07
0.171187     	1.142333e-07
0.172781     	1.143743e-07
0.174372     	1.145410e-07
0.175963     	1.146622e-07
0.177553     	1.148319e-07
0.179141     	1.149903e-07
0.180726     	1.151445e-07
0.182311     	1.152827e-07
0.183892     	1.154843e-07
0.185474     	1.156537e-07
0.187052     	1.158482e-07
0.188631     	1.160381e-07
0.190206     	1.162505e-07
0.191782     	1.164483e-07
0.193354     	1.166771e-07
0.194927     	1.168881e-07
0.196496     	1.171609e-07
0.198065     	1.174365e-07
0.199635     	1.177197e-07
0.201201     	1.180022e-07
0.202767     	1.182707e-07
0.20433      	1.185639e-07
0.205894     	1.188426e-07
0.207457     	1.191181e-07
0.209017     	1.194023e-07
0.210577     	1.197086e-07
0.212137     	1.199992e-07
0.213694     	1.202817e-07
0.215251     	1.205497e-07
0.216808     	1.208162e-07
0.218362     	1.210823e-07
0.219916     	1.213298e-07
0.22147      	1.215707e-07
0.223024     	1.218100e-07
0.224575     	1.220557e-07
0.226126     	1.222854e-07
0.227677     	1.224749e-07
0.229224     	1.226953e-07
0.230772     	1.228978e-07
0.23232      	1.230761e-07
0.233868     	1.232671e-07
0.235412     	1.234453e-07
0.236957     	1.236142e-07
0.238501     	1.237937e-07
0.240046     	1.239736e-07
0.241591     	1.241624e-07
0.243135     	1.243441e-07
0.244677     	1.245272e-07
0.246218     	1.247235e-07
0.24776      	1.248644e-07
0.249301     	1.250263e-07
