# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	-5.495330e-15
0.0136413    	6.763899e-16
0.0153687    	6.046215e-16
0.0170962    	5.363168e-17
0.0188297    	1.328887e-16
0.0205632    	-1.228922e-17
0.0222967    	-2.895267e-16
0.0240302    	6.558398e-16
0.0257607    	7.020034e-16
0.027488     	6.256723e-16
0.0292154    	2.221178e-17
0.0309397    	-2.532265e-16
0.032664     	-1.668831e-16
0.0343883    	1.265156e-17
0.0361126    	-4.676677e-19
0.0378339    	4.996381e-17
0.0395551    	5.405704e-17
0.0412763    	-3.281625e-17
0.0429975    	-5.169140e-17
0.0447188    	3.763314e-17
0.04644      	-2.082380e-17
0.0481612    	2.495604e-16
0.0498794    	2.233207e-16
0.0515975    	2.276937e-16
0.0533156    	-2.363437e-16
0.0550306    	2.406151e-16
0.0567456    	2.030120e-16
0.0584575    	-3.251906e-16
0.0601694    	-4.389226e-16
0.0618782    	-1.536520e-16
0.063587     	-4.208112e-16
0.0652926    	-9.958822e-17
0.0669983    	-9.597329e-17
0.0687009    	-2.608268e-16
0.0704034    	-3.792255e-16
0.072106     	-3.516838e-16
0.0738054    	-3.073913e-16
0.0755049    	-3.889461e-16
0.0772043    	2.586526e-16
0.0789006    	-9.324232e-17
0.0805969    	-7.995801e-17
0.0822932    	1.341435e-16
0.0839896    	-1.685361e-16
0.0856827    	3.837208e-16
0.0873759    	2.011598e-16
0.0890691    	2.296817e-16
0.0907591    	3.462300e-17
0.0924492    	4.110563e-17
0.0941361    	-4.914657e-17
0.095823     	1.015244e-16
0.0975067    	6.397893e-16
0.0991905    	8.452665e-17
0.100871     	3.267729e-16
0.102549     	2.319359e-17
0.104226     	1.878406e-16
0.1059       	-3.210262e-16
0.107572     	-1.127152e-16
0.109243     	-7.338871e-17
0.110911     	3.725335e-17
0.112576     	-2.816068e-17
0.114241     	7.447004e-17
0.115903     	-4.186218e-17
0.117561     	-2.084016e-16
0.11922      	-3.068044e-16
0.120876     	-6.567386e-16
0.122528     	-8.991979e-17
0.124181     	-9.423703e-17
0.12583      	-1.000885e-16
0.127479     	-1.574599e-16
0.129126     	-1.060534e-16
0.130769     	2.699428e-17
0.132412     	-3.185272e-16
0.134052     	-4.625349e-17
0.135689     	-3.898251e-16
0.137326     	-4.120729e-16
0.13896      	-8.548148e-17
0.140591     	-9.720932e-17
0.142218     	-6.157616e-17
0.143846     	-2.340761e-16
