# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
0.0119048    	0.000000e+00
0.0136413    	2.546905e-06
0.0153687    	1.892238e-07
0.0170962    	1.061287e-07
0.0188297    	5.391084e-08
0.0205632    	4.614966e-08
0.0222967    	4.150131e-08
0.0240302    	3.864161e-08
0.0257607    	3.672097e-08
0.027488     	3.536189e-08
0.0292154    	3.435914e-08
0.0309397    	3.360622e-08
0.032664     	3.302171e-08
0.0343883    	3.259727e-08
0.0361126    	3.222538e-08
0.0378339    	3.197514e-08
0.0395551    	3.182938e-08
0.0412763    	3.169115e-08
0.0429975    	3.162594e-08
0.0447188    	3.158336e-08
0.04644      	3.156482e-08
0.0481612    	3.152911e-08
0.0498794    	3.154170e-08
0.0515975    	3.157270e-08
0.0533156    	3.158829e-08
0.0550306    	3.160578e-08
0.0567456    	3.162946e-08
0.0584575    	3.166659e-08
0.0601694    	3.166629e-08
0.0618782    	3.168955e-08
0.063587     	3.172474e-08
0.0652926    	3.176498e-08
0.0669983    	3.177248e-08
0.0687009    	3.179395e-08
0.0704034    	3.179116e-08
0.072106     	3.183581e-08
0.0738054    	3.187392e-08
0.0755049    	3.189799e-08
0.0772043    	3.192003e-08
0.0789006    	3.193945e-08
0.0805969    	3.194590e-08
0.0822932    	3.195287e-08
0.0839896    	3.195461e-08
0.0856827    	3.195929e-08
0.0873759    	3.197592e-08
0.0890691    	3.198628e-08
0.0907591    	3.199970e-08
0.0924492    	3.200684e-08
0.0941361    	3.201556e-08
0.095823     	3.203972e-08
0.0975067    	3.199406e-08
0.0991905    	3.194455e-08
0.100871     	3.192205e-08
0.102549     	3.191328e-08
0.104226     	3.191132e-08
0.1059       	3.189682e-08
0.107572     	3.187602e-08
0.109243     	3.186018e-08
0.110911     	3.184743e-08
0.112576     	3.183142e-08
0.114241     	3.183199e-08
0.115903     	3.185221e-08
0.117561     	3.187710e-08
0.11922      	3.189344e-08
0.120876     	3.191187e-08
0.122528     	3.193140e-08
0.124181     	3.196428e-08
0.12583      	3.199744e-08
0.127479     	3.202084e-08
0.129126     	3.206176e-08
0.130769     	3.208382e-08
0.132412     	3.211483e-08
0.134052     	3.213869e-08
0.135689     	3.217806e-08
0.137326     	3.222982e-08
0.13896      	3.229417e-08
0.140591     	3.235407e-08
0.142218     	3.241579e-08
0.143846     	3.247424e-08
0.145471     	3.252825e-08
0.147092     	3.258321e-08
0.14871      	3.263508e-08
0.150329     	3.269561e-08
0.151944     	3.275625e-08
0.153556     	3.281484e-08
0.155169     	3.287946e-08
0.156778     	3.294762e-08
0.158387     	3.300675e-08
0.159993     	3.306283e-08
0.161596     	3.312926e-08
0.163199     	3.319445e-08
0.164799     	3.325599e-08
0.166399     	3.331769e-08
0.167996     	3.337878e-08
0.169593     	3.344428e-08
0.171187     	3.351300e-08
0.172781     	3.358361e-08
0.174372     	3.364321e-08
0.175963     	3.370843e-08
0.177553     	3.376023e-08
0.179141     	3.382626e-08
0.180726     	3.389213e-08
0.182311     	3.396187e-08
0.183892     	3.401815e-08
0.185474     	3.410008e-08
0.187052     	3.416840e-08
0.188631     	3.424848e-08
0.190206     	3.432636e-08
0.191782     	3.441151e-08
0.193354     	3.449545e-08
0.194927     	3.458269e-08
0.196496     	3.466480e-08
0.198065     	3.477485e-08
0.199635     	3.488242e-08
0.201201     	3.498145e-08
0.202767     	3.508534e-08
0.20433      	3.518659e-08
0.205894     	3.528945e-08
0.207457     	3.539185e-08
0.209017     	3.549124e-08
0.210577     	3.559227e-08
0.212137     	3.570140e-08
0.213694     	3.580802e-08
0.215251     	3.591190e-08
0.216808     	3.601100e-08
0.218362     	3.610720e-08
0.219916     	3.620403e-08
0.22147      	3.629373e-08
0.223024     	3.637954e-08
0.224575     	3.646606e-08
0.226126     	3.655301e-08
0.227677     	3.663154e-08
0.229224     	3.669956e-08
0.230772     	3.677623e-08
0.23232      	3.684546e-08
0.233868     	3.690763e-08
0.235412     	3.697234e-08
0.236957     	3.703141e-08
0.238501     	3.708912e-08
0.240046     	3.715128e-08
0.241591     	3.721356e-08
0.243135     	3.727708e-08
0.244677     	3.734043e-08
0.246218     	3.740600e-08
0.24776      	3.747598e-08
0.249301     	3.752650e-08
0.250843     	3.758330e-08
0.252384     	3.762218e-08
0.253926     	3.767330e-08
0.255467     	3.771948e-08
0.257009     	3.776860e-08
0.25855      	3.780339e-08
0.260092     	3.785182e-08
0.261636     	3.789945e-08
0.263181     	3.794674e-08
0.264726     	3.799053e-08
0.26627      	3.802383e-08
0.267815     	3.806355e-08
0.26936      	3.810631e-08
0.270901     	3.814924e-08
0.272443     	3.818118e-08
0.273984     	3.821448e-08
0.275522     	3.824868e-08
0.27706      	3.829860e-08
0.278599     	3.832386e-08
0.280133     	3.835674e-08
0.281668     	3.838611e-08
0.283203     	3.841874e-08
0.284738     	3.845845e-08
0.28627      	3.850309e-08
0.287801     	3.854810e-08
0.289333     	3.859241e-08
0.290865     	3.864510e-08
0.292396     	3.872021e-08
0.293924     	3.879463e-08
0.295453     	3.887429e-08
0.296978     	3.895519e-08
0.298503     	3.900692e-08
0.300028     	3.901344e-08
0.301553     	3.900937e-08
0.303074     	3.902731e-08
0.304596     	3.908134e-08
0.306114     	3.913590e-08
0.307629     	3.920658e-08
0.309145     	3.928289e-08
0.310656     	3.939744e-08
0.312168     	3.952419e-08
0.313676     	3.966012e-08
0.315185     	3.975667e-08
0.316693     	3.985711e-08
0.318198     	3.993376e-08
0.319703     	4.002590e-08
0.321208     	4.005291e-08
0.322713     	4.014054e-08
0.324219     	4.026559e-08
0.32572      	4.037347e-08
0.327222     	4.048301e-08
0.32872      	4.055539e-08
0.330219     	4.065474e-08
0.331714     	4.076014e-08
0.333202     	4.090986e-08
0.334687     	4.107412e-08
0.336166     	4.126118e-08
0.337638     	4.139490e-08
0.339103     	4.155813e-08
0.340559     	4.167503e-08
0.342008     	4.184308e-08
0.343451     	4.205676e-08
0.344885     	4.219708e-08
0.346312     	4.234753e-08
0.347733     	4.245434e-08
0.349145     	4.261339e-08
0.350551     	4.277636e-08
0.35195      	4.290616e-08
0.353344     	4.304174e-08
0.354732     	4.316903e-08
0.356113     	4.331972e-08
0.357489     	4.345013e-08
0.358859     	4.358037e-08
0.360223     	4.372844e-08
0.361582     	4.387491e-08
0.362937     	4.400634e-08
0.364287     	4.417387e-08
0.365634     	4.433834e-08
0.366975     	4.450434e-08
0.368313     	4.469809e-08
0.369646     	4.487641e-08
0.370976     	4.505199e-08
0.372303     	4.519188e-08
0.373627     	4.530507e-08
0.374948     	4.542426e-08
0.376267     	4.557191e-08
0.377583     	4.572259e-08
0.378899     	4.588776e-08
0.380212     	4.606545e-08
0.381525     	4.621529e-08
0.382835     	4.635550e-08
0.384146     	4.649430e-08
0.385456     	4.662686e-08
0.386766     	4.674663e-08
0.388077     	4.683123e-08
0.389387     	4.690860e-08
0.390697     	4.700383e-08
0.392008     	4.708980e-08
0.393315     	4.719242e-08
0.394623     	4.728965e-08
0.39593      	4.736906e-08
0.397238     	4.744511e-08
0.398542     	4.752064e-08
0.399847     	4.758616e-08
0.401152     	4.765994e-08
0.402456     	4.776279e-08
0.403764     	4.786177e-08
0.405071     	4.791542e-08
0.406379     	4.796824e-08
0.407687     	4.800760e-08
0.408994     	4.803608e-08
0.410302     	4.806564e-08
0.411609     	4.810129e-08
0.412917     	4.811999e-08
0.414221     	4.812553e-08
0.415523     	4.818102e-08
0.416825     	4.823750e-08
0.418124     	4.829117e-08
0.419422     	4.831140e-08
0.420721     	4.836934e-08
0.42202      	4.840279e-08
0.423319     	4.843256e-08
0.424618     	4.845376e-08
0.425917     	4.845414e-08
0.427215     	4.847619e-08
0.428517     	4.844362e-08
0.429819     	4.845821e-08
0.431124     	4.846255e-08
0.432429     	4.844465e-08
0.433736     	4.838468e-08
0.435044     	4.837757e-08
0.436352     	4.835383e-08
0.43766      	4.834936e-08
0.438967     	4.835194e-08
0.440275     	4.836686e-08
0.441583     	4.833508e-08
0.442894     	4.830799e-08
0.444205     	4.828388e-08
0.445515     	4.826278e-08
0.446826     	4.822946e-08
0.448137     	4.821637e-08
0.449448     	4.821383e-08
0.450759     	4.817864e-08
0.45207      	4.819579e-08
0.453384     	4.815243e-08
0.454698     	4.811154e-08
0.456012     	4.804918e-08
0.457329     	4.798014e-08
0.458646     	4.793257e-08
0.459966     	4.791359e-08
0.461287     	4.785848e-08
0.46261      	4.781633e-08
0.463934     	4.773295e-08
0.465261     	4.767385e-08
0.466588     	4.762969e-08
0.467918     	4.758646e-08
0.469248     	4.752872e-08
0.470578     	4.748064e-08
0.471912     	4.743508e-08
0.473245     	4.738315e-08
0.474579     	4.732945e-08
0.475912     	4.724810e-08
0.477249     	4.715269e-08
0.478586     	4.704914e-08
0.479923     	4.697196e-08
0.48126      	4.688576e-08
0.482597     	4.680217e-08
0.483938     	4.671836e-08
0.485278     	4.663751e-08
0.486619     	4.657045e-08
0.487959     	4.650436e-08
0.489299     	4.643090e-08
0.490643     	4.636306e-08
0.491987     	4.633391e-08
0.493331     	4.628548e-08
0.494679     	4.622378e-08
0.496026     	4.613108e-08
0.497374     	4.604872e-08
0.498725     	4.596986e-08
0.500076     	4.589109e-08
0.501431     	4.579818e-08
0.502786     	4.569880e-08
0.504144     	4.563234e-08
0.505503     	4.555600e-08
0.506861     	4.547905e-08
0.508223     	4.538727e-08
0.509586     	4.528283e-08
0.510948     	4.516479e-08
0.51231      	4.512947e-08
0.513673     	4.508274e-08
0.515035     	4.502171e-08
0.516397     	4.494606e-08
0.517759     	4.487031e-08
0.519122     	4.479229e-08
0.520484     	4.470204e-08
0.521846     	4.457200e-08
0.523212     	4.449543e-08
0.524578     	4.441684e-08
0.525945     	4.432567e-08
0.527311     	4.424700e-08
0.528681     	4.418901e-08
0.530051     	4.411812e-08
0.531421     	4.406193e-08
0.532795     	4.400846e-08
0.534169     	4.394349e-08
0.535543     	4.387239e-08
0.536914     	4.382712e-08
0.53828      	4.378771e-08
0.539646     	4.372790e-08
0.541008     	4.367255e-08
0.54237      	4.360820e-08
0.543728     	4.356868e-08
0.545086     	4.348916e-08
0.546439     	4.342692e-08
0.547793     	4.335835e-08
0.549143     	4.328857e-08
0.550493     	4.323005e-08
0.551843     	4.317263e-08
0.553193     	4.312853e-08
0.554539     	4.302274e-08
0.555884     	4.297717e-08
0.55723      	4.290886e-08
0.558576     	4.287428e-08
0.559922     	4.282467e-08
0.561268     	4.277864e-08
0.562613     	4.273706e-08
0.563959     	4.269446e-08
0.565309     	4.265867e-08
0.566659     	4.261952e-08
0.568009     	4.256471e-08
0.569359     	4.250083e-08
0.570713     	4.245204e-08
0.572068     	4.240167e-08
0.573422     	4.233623e-08
0.57478      	4.228663e-08
0.576139     	4.224404e-08
0.577497     	4.220934e-08
0.57886      	4.217923e-08
0.580223     	4.215547e-08
0.581591     	4.212300e-08
0.582958     	4.207711e-08
0.584325     	4.204722e-08
0.585697     	4.203112e-08
0.587069     	4.199559e-08
0.588441     	4.196628e-08
0.589817     	4.191541e-08
0.591194     	4.189693e-08
0.59257      	4.187864e-08
0.593951     	4.185850e-08
0.595332     	4.181897e-08
0.596714     	4.177898e-08
0.598095     	4.174910e-08
0.599476     	4.173948e-08
0.600862     	4.172130e-08
0.602248     	4.170155e-08
0.603633     	4.169227e-08
0.605024     	4.168063e-08
0.606415     	4.165437e-08
0.607806     	4.163697e-08
0.609201     	4.162257e-08
0.610597     	4.159600e-08
