# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phiSub)
0.0119048    	1.454441e-05
0.0132083    	1.252203e-06
0.0145102    	5.708445e-07
0.015812     	3.853147e-07
0.0171173    	3.458844e-07
0.0184226    	3.176768e-07
0.0197261    	2.984487e-07
0.0210297    	2.852203e-07
0.0223315    	2.756726e-07
0.0236316    	2.684342e-07
0.02493      	2.626805e-07
0.0262266    	2.583385e-07
0.0275232    	2.548558e-07
0.0288181    	2.520245e-07
0.030113     	2.500131e-07
0.031408     	2.482820e-07
0.0327029    	2.468278e-07
0.0339978    	2.460265e-07
0.0352927    	2.454045e-07
0.0365876    	2.451211e-07
0.0378825    	2.446725e-07
0.0391774    	2.446082e-07
0.0404706    	2.442087e-07
0.0417637    	2.442087e-07
0.0430552    	2.440526e-07
0.0443466    	2.438839e-07
0.0456363    	2.439474e-07
0.0469259    	2.440011e-07
0.0482139    	2.441935e-07
0.0495001    	2.443106e-07
0.0507845    	2.446215e-07
0.052069     	2.448977e-07
0.0533517    	2.453039e-07
0.0546327    	2.457119e-07
0.0559137    	2.460882e-07
0.0571929    	2.464545e-07
0.0584722    	2.465023e-07
0.0597497    	2.463817e-07
0.0610272    	2.463709e-07
0.062303     	2.464654e-07
0.0635788    	2.466155e-07
0.0648546    	2.467963e-07
0.0661286    	2.469768e-07
0.0674026    	2.471036e-07
0.0686749    	2.471316e-07
0.0699472    	2.470940e-07
0.0712178    	2.471331e-07
0.0724866    	2.471397e-07
0.0737537    	2.471257e-07
0.0750208    	2.470492e-07
0.0762862    	2.469425e-07
0.0775498    	2.468837e-07
0.0788117    	2.470536e-07
0.0800719    	2.468409e-07
0.0813303    	2.465056e-07
0.0825871    	2.464091e-07
0.0838421    	2.464090e-07
0.0850954    	2.463971e-07
0.086347     	2.464195e-07
0.0875968    	2.464871e-07
0.088845     	2.466131e-07
0.0900914    	2.467988e-07
0.0913362    	2.469929e-07
0.0925792    	2.471764e-07
0.0938206    	2.474372e-07
0.0950602    	2.477809e-07
0.0962998    	2.482067e-07
0.0975378    	2.486425e-07
0.098774     	2.490969e-07
0.100009     	2.494025e-07
0.101241     	2.497958e-07
0.102473     	2.501969e-07
0.103702     	2.506432e-07
0.104928     	2.510486e-07
0.106153     	2.514699e-07
0.107375     	2.519339e-07
0.108597     	2.522808e-07
0.109816     	2.526691e-07
0.111032     	2.530624e-07
0.112247     	2.534550e-07
0.113459     	2.538486e-07
0.11467      	2.542527e-07
0.11588      	2.546668e-07
0.117088     	2.551382e-07
0.118294     	2.556780e-07
0.119498     	2.562756e-07
0.120701     	2.568175e-07
0.121903     	2.574158e-07
0.123102     	2.579269e-07
0.1243       	2.584425e-07
0.125496     	2.589775e-07
0.126691     	2.594941e-07
0.127884     	2.599971e-07
0.129075     	2.604727e-07
0.130265     	2.609471e-07
0.131453     	2.614764e-07
0.13264      	2.621141e-07
0.133825     	2.626076e-07
0.135008     	2.632546e-07
0.136188     	2.639012e-07
0.137367     	2.646176e-07
0.138544     	2.653739e-07
0.139719     	2.661302e-07
0.140892     	2.668497e-07
0.142065     	2.675181e-07
0.143235     	2.682919e-07
0.144404     	2.689925e-07
0.145573     	2.696843e-07
0.14674      	2.703701e-07
0.147906     	2.710723e-07
0.14907      	2.717850e-07
0.150234     	2.725749e-07
0.151396     	2.733358e-07
0.152557     	2.741275e-07
0.153718     	2.748510e-07
0.154877     	2.756733e-07
0.156036     	2.763960e-07
0.157194     	2.771084e-07
0.158352     	2.778623e-07
0.159508     	2.786781e-07
0.160664     	2.794213e-07
0.161819     	2.801636e-07
0.162973     	2.809100e-07
0.164126     	2.817073e-07
0.165279     	2.824334e-07
0.16643      	2.831623e-07
0.167582     	2.839157e-07
0.168731     	2.846561e-07
0.16988      	2.853713e-07
0.171028     	2.860435e-07
0.172174     	2.867058e-07
0.173321     	2.873754e-07
0.174466     	2.880124e-07
0.175611     	2.886082e-07
0.176754     	2.891714e-07
0.177898     	2.896871e-07
0.179039     	2.902867e-07
0.180181     	2.908093e-07
0.181322     	2.913223e-07
0.182462     	2.918602e-07
0.183602     	2.923706e-07
0.184741     	2.928786e-07
0.185879     	2.933745e-07
0.187018     	2.938880e-07
0.188155     	2.942909e-07
0.189292     	2.947747e-07
0.190429     	2.950818e-07
0.191566     	2.954660e-07
0.192703     	2.957422e-07
0.193838     	2.961023e-07
0.194974     	2.965061e-07
0.196109     	2.967269e-07
0.197245     	2.970106e-07
0.198379     	2.973403e-07
0.199512     	2.976254e-07
0.200646     	2.980372e-07
0.20178      	2.983480e-07
0.202914     	2.986213e-07
0.204046     	2.989362e-07
0.205177     	2.993318e-07
0.206306     	2.996300e-07
0.207435     	2.998104e-07
0.208562     	2.999846e-07
0.209688     	3.001854e-07
0.210812     	3.003748e-07
0.211936     	3.005925e-07
0.213059     	3.008285e-07
0.21418      	3.010293e-07
0.215301     	3.012466e-07
0.21642      	3.014816e-07
0.21754      	3.016951e-07
0.218658     	3.018691e-07
0.219774     	3.021820e-07
0.22089      	3.024141e-07
0.222005     	3.027255e-07
0.223118     	3.029781e-07
0.224229     	3.033281e-07
0.225339     	3.036895e-07
0.226447     	3.040163e-07
0.227554     	3.043002e-07
0.228659     	3.046342e-07
0.229762     	3.050049e-07
0.230866     	3.055793e-07
0.231968     	3.062797e-07
0.23307      	3.070976e-07
0.23417      	3.077117e-07
0.235269     	3.077391e-07
0.236366     	3.076443e-07
0.23746      	3.075093e-07
0.238552     	3.081577e-07
0.239643     	3.088781e-07
0.240733     	3.096117e-07
0.241822     	3.104585e-07
0.24291      	3.112946e-07
0.243996     	3.122523e-07
0.245082     	3.132857e-07
0.246167     	3.142382e-07
0.247252     	3.149751e-07
0.248336     	3.158060e-07
0.249419     	3.167368e-07
0.250502     	3.176464e-07
0.251584     	3.185443e-07
0.252664     	3.193865e-07
0.253744     	3.204963e-07
0.254822     	3.216060e-07
0.255901     	3.228995e-07
0.256979     	3.238182e-07
0.258056     	3.246517e-07
0.259133     	3.255996e-07
0.260208     	3.271718e-07
0.261282     	3.282905e-07
0.262349     	3.295816e-07
0.263411     	3.304774e-07
0.264466     	3.317651e-07
0.265515     	3.331091e-07
0.266558     	3.343062e-07
