# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0132083    	-2.142398e-22
0.0145102    	-2.367805e-23
0.015812     	-7.935764e-24
0.0171173    	1.349338e-23
0.0184226    	-1.287300e-23
0.0197261    	2.589786e-23
0.0210297    	-1.738049e-23
0.0223315    	-6.568977e-24
0.0236316    	5.053557e-24
0.02493      	3.586603e-24
0.0262266    	-1.352570e-23
0.0275232    	2.008498e-23
0.0288181    	-2.300596e-24
0.030113     	-7.276604e-24
0.031408     	-6.824240e-24
0.0327029    	1.822382e-24
0.0339978    	-8.129634e-24
0.0352927    	1.668578e-23
0.0365876    	-2.371682e-23
0.0378825    	2.274747e-24
0.0391774    	-1.689258e-23
0.0404706    	-1.602662e-23
0.0417637    	-1.364848e-23
0.0430552    	1.124449e-24
0.0443466    	-6.643294e-24
0.0456363    	-5.092331e-24
0.0469259    	9.435029e-24
0.0482139    	1.668578e-23
0.0495001    	6.888864e-24
0.0507845    	1.062410e-23
0.052069     	-2.146792e-23
0.0533517    	7.767743e-24
0.0546327    	-3.334572e-24
0.0559137    	2.865405e-23
0.0571929    	2.740036e-24
0.0584722    	1.306687e-23
0.0597497    	4.381472e-24
0.0610272    	1.403622e-23
0.062303     	1.167100e-23
0.0635788    	-1.048193e-23
0.0648546    	-7.496324e-25
0.0661286    	1.759051e-23
0.0674026    	1.517359e-23
0.0686749    	-7.625571e-25
0.0699472    	1.881836e-23
0.0712178    	-2.391069e-24
0.0724866    	-6.785466e-24
0.0737537    	1.742249e-23
0.0750208    	-3.631840e-24
0.0762862    	2.736158e-23
0.0775498    	-8.297656e-24
0.0788117    	-4.239301e-24
0.0800719    	-6.229704e-24
0.0813303    	5.066481e-24
0.0825871    	-9.318707e-24
0.0838421    	-9.719372e-24
0.0850954    	1.671163e-23
0.086347     	-9.564276e-25
0.0875968    	-1.654361e-24
0.088845     	-1.877958e-23
0.0900914    	-1.181317e-23
0.0913362    	2.235973e-24
0.0925792    	-5.169879e-26
0.0938206    	6.824240e-24
0.0950602    	1.718985e-24
0.0962998    	2.243727e-23
0.0975378    	1.292470e-24
0.098774     	-1.597493e-23
0.100009     	3.231174e-24
