# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
0.0119048    	0.000000e+00
0.0132083    	3.772910e-06
0.0145102    	3.512164e-07
0.015812     	1.536704e-07
0.0171173    	9.922494e-08
0.0184226    	8.843003e-08
0.0197261    	8.160060e-08
0.0210297    	7.707110e-08
0.0223315    	7.390509e-08
0.0236316    	7.160092e-08
0.02493      	6.986367e-08
0.0262266    	6.848855e-08
0.0275232    	6.746820e-08
0.0288181    	6.664070e-08
0.030113     	6.598685e-08
0.031408     	6.553153e-08
0.0327029    	6.513260e-08
0.0339978    	6.478811e-08
0.0352927    	6.464980e-08
0.0365876    	6.455272e-08
0.0378825    	6.453485e-08
0.0391774    	6.446300e-08
0.0404706    	6.449210e-08
0.0417637    	6.440780e-08
0.0430552    	6.443555e-08
0.0443466    	6.443154e-08
0.0456363    	6.442762e-08
0.0469259    	6.447686e-08
0.0482139    	6.452289e-08
0.0495001    	6.461066e-08
0.0507845    	6.467339e-08
0.052069     	6.479368e-08
0.0533517    	6.490029e-08
0.0546327    	6.504815e-08
0.0559137    	6.519155e-08
0.0571929    	6.532329e-08
0.0584722    	6.545334e-08
0.0597497    	6.547690e-08
0.0610272    	6.545745e-08
0.062303     	6.547038e-08
0.0635788    	6.550457e-08
0.0648546    	6.554677e-08
0.0661286    	6.560038e-08
0.0674026    	6.565717e-08
0.0686749    	6.570261e-08
0.0699472    	6.571931e-08
0.0712178    	6.572185e-08
0.0724866    	6.573943e-08
0.0737537    	6.575039e-08
0.0750208    	6.575259e-08
0.0762862    	6.572681e-08
0.0775498    	6.570154e-08
0.0788117    	6.569421e-08
0.0800719    	6.576427e-08
0.0813303    	6.571179e-08
0.0825871    	6.561980e-08
0.0838421    	6.560495e-08
0.0850954    	6.562028e-08
0.086347     	6.562674e-08
0.0875968    	6.563875e-08
0.088845     	6.566423e-08
0.0900914    	6.570588e-08
0.0913362    	6.574937e-08
0.0925792    	6.580554e-08
0.0938206    	6.586893e-08
0.0950602    	6.596176e-08
