# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phiSub)
0.0119048    	1.536567e-05
0.0132083    	1.352639e-06
0.0145102    	5.996152e-07
0.015812     	3.978096e-07
0.0171173    	3.539906e-07
0.0184226    	3.239065e-07
0.0197261    	3.041218e-07
0.0210297    	2.906984e-07
0.0223315    	2.810371e-07
0.0236316    	2.737570e-07
0.02493      	2.679931e-07
0.0262266    	2.636812e-07
0.0275232    	2.602288e-07
0.0288181    	2.574812e-07
0.030113     	2.555398e-07
0.031408     	2.538645e-07
0.0327029    	2.524605e-07
0.0339978    	2.517945e-07
0.0352927    	2.512693e-07
0.0365876    	2.511129e-07
0.0378825    	2.507519e-07
0.0391774    	2.507694e-07
0.0404706    	2.504097e-07
0.0417637    	2.504693e-07
0.0430552    	2.503633e-07
0.0443466    	2.502523e-07
0.0456363    	2.503791e-07
0.0469259    	2.505390e-07
0.0482139    	2.508202e-07
0.0495001    	2.509635e-07
0.0507845    	2.512127e-07
0.052069     	2.514403e-07
0.0533517    	2.518714e-07
0.0546327    	2.523165e-07
0.0559137    	2.527151e-07
0.0571929    	2.530844e-07
0.0584722    	2.531308e-07
0.0597497    	2.530252e-07
0.0610272    	2.530585e-07
0.062303     	2.532125e-07
0.0635788    	2.533882e-07
0.0648546    	2.535635e-07
0.0661286    	2.537994e-07
0.0674026    	2.539874e-07
0.0686749    	2.540677e-07
0.0699472    	2.540829e-07
0.0712178    	2.541413e-07
0.0724866    	2.541777e-07
0.0737537    	2.542242e-07
0.0750208    	2.541746e-07
0.0762862    	2.540661e-07
0.0775498    	2.540215e-07
0.0788117    	2.542337e-07
0.0800719    	2.540201e-07
0.0813303    	2.536623e-07
0.0825871    	2.535765e-07
0.0838421    	2.535899e-07
0.0850954    	2.535614e-07
0.086347     	2.535813e-07
0.0875968    	2.536717e-07
0.088845     	2.538130e-07
0.0900914    	2.540116e-07
0.0913362    	2.542376e-07
0.0925792    	2.544588e-07
0.0938206    	2.546929e-07
0.0950602    	2.551194e-07
0.0962998    	2.556093e-07
0.0975378    	2.560807e-07
0.098774     	2.565637e-07
0.100009     	2.568958e-07
0.101241     	2.573243e-07
0.102473     	2.577664e-07
0.103702     	2.582600e-07
0.104928     	2.587055e-07
0.106153     	2.591589e-07
0.107375     	2.596804e-07
0.108597     	2.600783e-07
0.109816     	2.605183e-07
0.111032     	2.609693e-07
0.112247     	2.614295e-07
0.113459     	2.618822e-07
0.11467      	2.623425e-07
0.11588      	2.628211e-07
