# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phi)
0.0119048    	0.000000e+00
0.0132083    	-3.970467e-22
0.0145102    	2.326445e-24
0.015812     	8.401053e-25
0.0171173    	-3.037304e-23
0.0184226    	1.624634e-23
0.0197261    	7.662730e-24
0.0210297    	-1.340937e-24
0.0223315    	2.512561e-23
0.0236316    	-6.061683e-24
0.02493      	1.192950e-23
0.0262266    	-7.341228e-24
0.0275232    	1.870204e-23
0.0288181    	1.641437e-24
0.030113     	1.314442e-23
0.031408     	-3.838635e-24
0.0327029    	-8.065011e-24
0.0339978    	7.276604e-24
0.0352927    	-2.844726e-23
0.0365876    	-1.287300e-23
0.0378825    	-2.106726e-24
0.0391774    	1.282130e-23
0.0404706    	5.195728e-24
0.0417637    	-2.035640e-23
0.0430552    	7.056885e-24
0.0443466    	-9.383330e-24
0.0456363    	-3.011454e-24
0.0469259    	-6.371876e-24
0.0482139    	5.169879e-24
0.0495001    	-4.122978e-24
0.0507845    	3.295798e-24
0.052069     	1.181317e-23
0.0533517    	3.205325e-24
0.0546327    	-1.636267e-23
0.0559137    	-7.211981e-24
0.0571929    	-2.468617e-24
0.0584722    	1.160638e-23
0.0597497    	9.693523e-24
0.0610272    	4.549493e-24
0.062303     	-2.207538e-23
0.0635788    	-6.475273e-24
0.0648546    	-1.887006e-23
0.0661286    	-9.396255e-24
0.0674026    	-2.817584e-24
0.0686749    	1.370018e-24
0.0699472    	2.292841e-23
0.0712178    	-1.642729e-23
0.0724866    	2.035640e-23
0.0737537    	1.464368e-23
0.0750208    	-2.330323e-23
0.0762862    	9.008514e-24
0.0775498    	-1.743542e-23
0.0788117    	-2.551335e-23
0.0800719    	7.690195e-24
0.0813303    	6.397725e-24
0.0825871    	-5.583469e-24
0.0838421    	3.437969e-24
0.0850954    	5.505921e-24
0.086347     	1.155468e-23
0.0875968    	-2.168764e-23
0.088845     	3.158796e-23
0.0900914    	-5.402523e-24
0.0913362    	1.801703e-23
0.0925792    	1.209752e-23
0.0938206    	-1.850817e-23
0.0950602    	1.990403e-24
0.0962998    	1.550964e-24
0.0975378    	2.556505e-23
0.098774     	1.943874e-23
0.100009     	7.754818e-26
0.101241     	1.561303e-23
0.102473     	3.515518e-24
0.103702     	-2.765885e-24
0.104928     	1.698305e-23
0.106153     	-6.927638e-24
0.107375     	-1.026221e-23
0.108597     	-9.926167e-24
0.109816     	-5.040632e-24
0.111032     	1.111524e-23
0.112247     	5.324975e-24
0.113459     	-8.401053e-24
0.11467      	9.977866e-24
0.11588      	-4.446096e-24
0.117088     	2.305766e-23
0.118294     	-5.066481e-24
0.119498     	2.168764e-23
0.120701     	-1.326074e-23
0.121903     	-9.796920e-24
0.123102     	1.054655e-23
0.1243       	3.670614e-24
0.125496     	-1.504435e-23
0.126691     	-1.183902e-23
0.127884     	3.443139e-23
0.129075     	1.783608e-24
0.130265     	-4.807987e-24
0.131453     	3.024379e-24
0.13264      	-1.372603e-23
0.133825     	2.300596e-23
0.135008     	-1.781023e-23
0.136188     	-2.199783e-23
0.137367     	-2.049857e-23
0.138544     	-2.600449e-23
0.139719     	-1.494095e-23
0.140892     	2.282502e-23
0.142065     	-2.016253e-24
0.143235     	-1.680211e-24
0.144404     	-1.762929e-23
0.145573     	-1.680211e-24
0.14674      	5.583469e-24
0.147906     	5.790264e-24
0.14907      	1.253696e-23
0.150234     	-1.114109e-23
0.151396     	-4.549493e-24
0.152557     	1.124449e-23
0.153718     	-1.809458e-24
0.154877     	1.354508e-23
0.156036     	5.144029e-24
0.157194     	1.432056e-23
0.158352     	7.263680e-24
0.159508     	-3.696463e-24
0.160664     	1.002956e-23
0.161819     	1.266620e-24
0.162973     	-2.584939e-25
0.164126     	2.636638e-24
0.165279     	7.754818e-24
0.16643      	-1.310564e-23
0.167582     	-7.211981e-24
0.168731     	9.796920e-24
0.16988      	-8.788794e-25
0.171028     	1.307979e-23
0.172174     	1.315734e-23
0.173321     	1.080505e-23
0.174466     	-1.163223e-24
0.175611     	1.685380e-23
0.176754     	7.211981e-24
0.177898     	-1.830137e-23
0.179039     	-3.722313e-24
0.180181     	4.678740e-24
0.181322     	1.995573e-23
0.182462     	-2.403994e-24
0.183602     	5.945361e-24
0.184741     	4.110054e-23
0.185879     	1.990403e-24
0.187018     	-2.326445e-23
0.188155     	2.013668e-23
0.189292     	2.652148e-23
0.190429     	-2.067952e-25
0.191566     	1.351923e-23
0.192703     	5.169879e-24
0.193838     	-2.579770e-23
0.194974     	-2.920982e-24
0.196109     	-1.452736e-23
0.197245     	2.765885e-23
