# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sum(phiSub)
0.0119048    	2.368197e-14
0.014505     	-7.797679e-17
0.017133     	-1.121607e-15
0.019747     	3.187319e-16
0.022368     	-2.463687e-17
0.024989     	6.094269e-16
0.02761      	-4.302786e-16
0.030231     	-2.823646e-16
0.032852     	-3.837845e-16
0.0354659    	-3.306260e-16
0.0380798    	1.893404e-16
0.0406867    	2.074806e-16
0.0432935    	-6.034165e-16
0.0459003    	-4.971249e-16
0.0485071    	-1.587821e-16
0.051114     	-6.870655e-17
0.0537137    	4.588244e-17
0.0563133    	-1.831053e-16
0.058913     	-1.129519e-16
0.0615127    	-1.463942e-16
0.0641124    	-7.975996e-17
0.0667121    	3.094982e-17
0.0693118    	2.201360e-17
0.0719115    	-1.787764e-16
0.0745039    	1.652583e-16
0.0770963    	2.018911e-16
0.0796887    	1.920938e-17
0.0822812    	-2.907364e-16
0.0848663    	1.891311e-16
0.0874514    	-1.075577e-16
0.0900365    	-2.451266e-16
0.0926143    	-2.334282e-16
0.0951921    	9.908791e-17
0.0977699    	-2.145325e-16
0.10034      	3.090206e-17
0.102911     	1.490035e-17
0.105481     	-4.607782e-17
0.108052     	-2.848205e-16
0.110615     	-1.285189e-16
0.113178     	-1.175587e-16
0.115741     	-2.120895e-16
0.118304     	-2.754722e-16
0.120867     	-8.348898e-17
0.12343      	-2.460059e-16
0.125993     	-6.623389e-17
0.128549     	-2.081196e-16
0.131104     	-2.575549e-16
0.13366      	-4.926186e-16
0.136216     	-1.099335e-16
0.138771     	-4.270041e-16
0.141319     	-2.263516e-16
0.143867     	-2.767977e-16
0.146415     	-4.086762e-16
0.148963     	-4.290801e-16
0.151504     	-2.848943e-16
0.154044     	-1.119906e-16
0.156584     	-1.780921e-16
0.159117     	-3.215076e-16
0.16165      	-3.944941e-17
0.164183     	2.116856e-17
0.166708     	-2.327654e-16
0.169233     	4.964874e-17
0.171758     	-4.263456e-16
0.174276     	-1.077125e-16
0.176793     	-1.072090e-16
0.17931      	-8.112664e-17
0.18182      	-1.908599e-16
0.18433      	-6.740068e-16
0.18684      	-1.777575e-16
0.189342     	-3.435962e-16
0.191844     	-6.256939e-16
0.194346     	-3.801499e-16
0.19684      	-2.011274e-16
0.199334     	-6.019183e-16
0.201829     	-1.482346e-16
0.204323     	-2.302155e-16
0.206809     	-1.467734e-16
0.209296     	-5.883902e-16
0.211782     	-3.890977e-16
0.214269     	-1.394453e-16
0.216748     	-2.313306e-16
0.219226     	-2.623076e-16
0.221705     	6.707909e-17
0.224184     	-4.148786e-16
0.226654     	-3.720458e-16
0.229125     	-5.411926e-16
0.231596     	1.929320e-16
0.234067     	-1.915223e-16
0.236529     	2.768563e-17
0.238992     	-4.446702e-16
0.241455     	6.414227e-16
0.243918     	-5.928958e-16
0.246381     	-7.131550e-17
0.248835     	-4.262896e-16
0.25129      	-2.154700e-16
0.253745     	-2.245184e-16
0.2562       	-1.864607e-16
0.258655     	1.014515e-16
0.261109     	-1.569901e-16
0.263556     	1.801648e-16
0.266003     	1.525646e-17
0.268449     	-4.506592e-16
0.270896     	-3.957003e-16
0.273343     	-4.122312e-16
0.275789     	-6.383303e-16
0.278236     	-1.598243e-16
0.280674     	-2.709032e-16
0.283113     	-4.263061e-16
0.285551     	-1.533153e-16
0.287989     	-3.922888e-17
0.290428     	6.845182e-17
0.292866     	-2.735689e-18
0.295305     	-5.624841e-17
0.297743     	-2.033822e-16
0.300181     	1.378156e-16
0.30262      	-5.083190e-16
0.30505      	-2.298791e-16
0.30748      	5.018501e-16
0.30991      	-3.693835e-16
0.312339     	-5.344033e-16
0.314769     	-3.358215e-16
0.317199     	-1.995419e-16
0.319629     	-7.169675e-18
0.322059     	-3.556269e-16
0.324489     	-1.640138e-16
0.326919     	3.097542e-16
0.329349     	4.431114e-16
0.331779     	4.657602e-16
0.334208     	5.101714e-18
0.336638     	-1.200480e-16
0.339068     	5.793048e-16
0.341498     	-1.390401e-16
0.343928     	7.456348e-17
0.346358     	-4.675811e-16
0.348788     	-1.813181e-16
0.351218     	-5.559985e-16
0.353648     	-4.524309e-16
0.356078     	-4.833782e-16
0.358507     	1.235631e-16
0.360937     	-4.014485e-16
0.363367     	-1.860604e-16
0.365797     	-1.707172e-16
0.368227     	-4.041395e-17
0.370657     	-6.231553e-16
0.373087     	-2.059930e-18
0.375517     	-1.702282e-16
0.377947     	-7.187684e-16
0.380377     	-2.814830e-16
0.382806     	-5.081657e-16
0.385236     	-4.334275e-16
0.387666     	-8.862594e-17
0.390096     	-3.393445e-16
0.392526     	-2.213175e-16
0.394966     	-5.400014e-16
0.397405     	-5.800321e-16
0.399845     	-5.814355e-16
0.402285     	-2.607228e-16
0.404724     	-3.149937e-16
0.407164     	5.924748e-16
0.409604     	-5.891622e-16
0.412043     	2.868757e-16
0.414483     	-4.884871e-16
0.416923     	-3.205695e-16
0.419362     	-7.085594e-16
0.421802     	1.653515e-16
0.424242     	-3.496531e-16
0.426681     	-5.531974e-16
0.42911      	-1.095249e-16
0.43154      	7.416562e-18
0.433959     	-4.122359e-16
0.436378     	-4.683236e-16
0.438786     	-2.894903e-16
0.441195     	-6.314420e-16
0.443593     	-5.745358e-16
0.445992     	-1.472468e-17
0.44839      	-3.113856e-17
0.450778     	1.621188e-16
0.453166     	6.692888e-17
0.455543     	1.572971e-16
0.457921     	-4.297713e-16
0.460288     	-6.675088e-16
0.462655     	-5.859532e-16
0.465012     	-1.059194e-16
0.467369     	-4.811011e-16
0.469715     	-5.153767e-16
0.472062     	-2.493208e-16
0.474408     	-5.922524e-16
