# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
0.0119048    	0.000000e+00
0.014505     	1.932314e-06
0.017133     	1.873281e-07
0.019747     	8.346242e-08
0.022368     	3.978259e-08
0.024989     	3.422628e-08
0.02761      	2.725482e-08
0.030231     	2.449999e-08
0.032852     	2.205099e-08
0.0354659    	2.076469e-08
0.0380798    	1.968151e-08
0.0406867    	1.903140e-08
0.0432935    	1.850820e-08
0.0459003    	1.815781e-08
0.0485071    	1.787192e-08
0.051114     	1.765619e-08
0.0537137    	1.748899e-08
0.0563133    	1.736721e-08
0.058913     	1.726649e-08
0.0615127    	1.717585e-08
0.0641124    	1.711384e-08
0.0667121    	1.706864e-08
0.0693118    	1.704054e-08
0.0719115    	1.701972e-08
0.0745039    	1.699279e-08
0.0770963    	1.697452e-08
0.0796887    	1.695098e-08
0.0822812    	1.694364e-08
0.0848663    	1.693543e-08
0.0874514    	1.693357e-08
0.0900365    	1.692585e-08
0.0926143    	1.692232e-08
0.0951921    	1.692120e-08
0.0977699    	1.692476e-08
0.10034      	1.692845e-08
0.102911     	1.693531e-08
0.105481     	1.693750e-08
0.108052     	1.693835e-08
0.110615     	1.692688e-08
0.113178     	1.692170e-08
0.115741     	1.690638e-08
0.118304     	1.690187e-08
0.120867     	1.689059e-08
0.12343      	1.688587e-08
0.125993     	1.687892e-08
0.128549     	1.688667e-08
0.131104     	1.689427e-08
0.13366      	1.689056e-08
0.136216     	1.688093e-08
0.138771     	1.685819e-08
0.141319     	1.684726e-08
0.143867     	1.683919e-08
0.146415     	1.682366e-08
0.148963     	1.681607e-08
0.151504     	1.680462e-08
0.154044     	1.679816e-08
0.156584     	1.678505e-08
0.159117     	1.677904e-08
0.16165      	1.677384e-08
0.164183     	1.677003e-08
0.166708     	1.676476e-08
0.169233     	1.676384e-08
0.171758     	1.675810e-08
0.174276     	1.676122e-08
0.176793     	1.676591e-08
0.17931      	1.677152e-08
0.18182      	1.677921e-08
0.18433      	1.678776e-08
0.18684      	1.679427e-08
0.189342     	1.680635e-08
0.191844     	1.680943e-08
0.194346     	1.680891e-08
0.19684      	1.681519e-08
0.199334     	1.682513e-08
0.201829     	1.683390e-08
0.204323     	1.684567e-08
0.206809     	1.685475e-08
0.209296     	1.686638e-08
0.211782     	1.688051e-08
0.214269     	1.689150e-08
0.216748     	1.690486e-08
0.219226     	1.692323e-08
0.221705     	1.693875e-08
0.224184     	1.694870e-08
0.226654     	1.696437e-08
0.229125     	1.697926e-08
0.231596     	1.699564e-08
0.234067     	1.700985e-08
0.236529     	1.702521e-08
0.238992     	1.704071e-08
0.241455     	1.705755e-08
0.243918     	1.707100e-08
0.246381     	1.708317e-08
0.248835     	1.709797e-08
0.25129      	1.711940e-08
0.253745     	1.713714e-08
0.2562       	1.714729e-08
0.258655     	1.716813e-08
0.261109     	1.718759e-08
0.263556     	1.720517e-08
0.266003     	1.722438e-08
0.268449     	1.724110e-08
0.270896     	1.725896e-08
0.273343     	1.727301e-08
0.275789     	1.729180e-08
0.278236     	1.730961e-08
0.280674     	1.732604e-08
0.283113     	1.734091e-08
0.285551     	1.735682e-08
0.287989     	1.737108e-08
0.290428     	1.738685e-08
0.292866     	1.739983e-08
0.295305     	1.741526e-08
0.297743     	1.742984e-08
0.300181     	1.744628e-08
0.30262      	1.746141e-08
0.30505      	1.747654e-08
0.30748      	1.749493e-08
0.30991      	1.750788e-08
0.312339     	1.752448e-08
0.314769     	1.754171e-08
0.317199     	1.755963e-08
0.319629     	1.757857e-08
0.322059     	1.759262e-08
0.324489     	1.760731e-08
0.326919     	1.761952e-08
0.329349     	1.763753e-08
0.331779     	1.765371e-08
0.334208     	1.767357e-08
0.336638     	1.769154e-08
0.339068     	1.771298e-08
0.341498     	1.773044e-08
0.343928     	1.774973e-08
0.346358     	1.776544e-08
0.348788     	1.778457e-08
0.351218     	1.780055e-08
0.353648     	1.782661e-08
0.356078     	1.783784e-08
0.358507     	1.785936e-08
0.360937     	1.787513e-08
0.363367     	1.789569e-08
0.365797     	1.791023e-08
0.368227     	1.793078e-08
0.370657     	1.794631e-08
0.373087     	1.796557e-08
0.375517     	1.797948e-08
0.377947     	1.799355e-08
0.380377     	1.800763e-08
0.382806     	1.803054e-08
0.385236     	1.804284e-08
0.387666     	1.806332e-08
0.390096     	1.807763e-08
0.392526     	1.810044e-08
0.394966     	1.811838e-08
0.397405     	1.813872e-08
0.399845     	1.816009e-08
0.402285     	1.818643e-08
0.404724     	1.820535e-08
0.407164     	1.823072e-08
0.409604     	1.825427e-08
0.412043     	1.827966e-08
0.414483     	1.830100e-08
0.416923     	1.832744e-08
0.419362     	1.834958e-08
0.421802     	1.837690e-08
0.424242     	1.839705e-08
0.426681     	1.842467e-08
0.42911      	1.845756e-08
0.43154      	1.850183e-08
0.433959     	1.853771e-08
0.436378     	1.857580e-08
0.438786     	1.861319e-08
0.441195     	1.866650e-08
0.443593     	1.871542e-08
0.445992     	1.875111e-08
0.44839      	1.877956e-08
0.450778     	1.882157e-08
0.453166     	1.886112e-08
0.455543     	1.890487e-08
0.457921     	1.895191e-08
0.460288     	1.900560e-08
0.462655     	1.904523e-08
0.465012     	1.909406e-08
0.467369     	1.912294e-08
0.469715     	1.916651e-08
0.472062     	1.921781e-08
0.474408     	1.928813e-08
0.476744     	1.936296e-08
0.47908      	1.941914e-08
0.481405     	1.945135e-08
0.483731     	1.947800e-08
0.486046     	1.949879e-08
0.488351     	1.954927e-08
0.490655     	1.959844e-08
0.49295      	1.965474e-08
0.495234     	1.970332e-08
0.497508     	1.975065e-08
0.499781     	1.979749e-08
0.502045     	1.983195e-08
0.504298     	1.989213e-08
0.506541     	1.995506e-08
0.508784     	1.998999e-08
0.511017     	2.002958e-08
0.513239     	2.006061e-08
0.515462     	2.007868e-08
0.517675     	2.011160e-08
0.519887     	2.016233e-08
0.522089     	2.021016e-08
0.524282     	2.026279e-08
0.526474     	2.031657e-08
0.528656     	2.035976e-08
0.530838     	2.040824e-08
0.53301      	2.045649e-08
0.535182     	2.050986e-08
0.537354     	2.057444e-08
0.539516     	2.065745e-08
0.541678     	2.083260e-08
0.54384      	2.103802e-08
0.545992     	2.124482e-08
0.548143     	2.133481e-08
