# Region type : patch top
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phiSub)
0.0119048    	7.748281e-06
0.014505     	7.844792e-07
0.017133     	3.221625e-07
0.019747     	1.544728e-07
0.022368     	1.349145e-07
0.024989     	1.062552e-07
0.02761      	9.487957e-08
0.030231     	8.538026e-08
0.032852     	8.005280e-08
0.0354659    	7.576239e-08
0.0380798    	7.309035e-08
0.0406867    	7.106728e-08
0.0432935    	6.963109e-08
0.0459003    	6.851347e-08
0.0485071    	6.763913e-08
0.051114     	6.698351e-08
0.0537137    	6.647777e-08
0.0563133    	6.606759e-08
0.058913     	6.569467e-08
0.0615127    	6.540973e-08
0.0641124    	6.519027e-08
0.0667121    	6.505639e-08
0.0693118    	6.494461e-08
0.0719115    	6.485532e-08
0.0745039    	6.478161e-08
0.0770963    	6.468173e-08
0.0796887    	6.464246e-08
0.0822812    	6.461549e-08
0.0848663    	6.460236e-08
0.0874514    	6.457591e-08
0.0900365    	6.454975e-08
0.0926143    	6.453600e-08
0.0951921    	6.453570e-08
0.0977699    	6.454105e-08
0.10034      	6.454806e-08
0.102911     	6.453379e-08
0.105481     	6.451517e-08
0.108052     	6.447170e-08
0.110615     	6.443887e-08
0.113178     	6.438544e-08
0.115741     	6.433870e-08
0.118304     	6.426662e-08
0.120867     	6.421583e-08
0.12343      	6.421638e-08
0.125993     	6.424753e-08
0.128549     	6.429128e-08
0.131104     	6.427967e-08
0.13366      	6.424783e-08
0.136216     	6.416350e-08
0.138771     	6.413352e-08
0.141319     	6.410546e-08
0.143867     	6.405349e-08
0.146415     	6.401825e-08
0.148963     	6.398451e-08
0.151504     	6.396615e-08
0.154044     	6.392540e-08
0.156584     	6.390641e-08
0.159117     	6.389969e-08
0.16165      	6.389581e-08
0.164183     	6.388266e-08
0.166708     	6.387348e-08
0.169233     	6.385895e-08
0.171758     	6.386553e-08
0.174276     	6.388547e-08
0.176793     	6.390470e-08
0.17931      	6.393252e-08
0.18182      	6.395094e-08
0.18433      	6.397484e-08
0.18684      	6.400904e-08
0.189342     	6.401392e-08
0.191844     	6.400744e-08
0.194346     	6.403662e-08
0.19684      	6.407678e-08
0.199334     	6.411727e-08
0.201829     	6.415602e-08
0.204323     	6.419046e-08
0.206809     	6.422798e-08
0.209296     	6.428556e-08
0.211782     	6.432424e-08
0.214269     	6.437856e-08
0.216748     	6.444260e-08
0.219226     	6.450117e-08
0.221705     	6.453363e-08
0.224184     	6.459280e-08
0.226654     	6.464182e-08
0.229125     	6.470229e-08
0.231596     	6.475686e-08
0.234067     	6.482047e-08
0.236529     	6.486925e-08
0.238992     	6.492857e-08
0.241455     	6.496941e-08
0.243918     	6.501143e-08
0.246381     	6.505530e-08
0.248835     	6.512392e-08
0.25129      	6.518124e-08
0.253745     	6.521649e-08
0.2562       	6.529895e-08
0.258655     	6.536725e-08
0.261109     	6.542536e-08
0.263556     	6.549170e-08
0.266003     	6.554750e-08
0.268449     	6.561167e-08
0.270896     	6.565867e-08
0.273343     	6.572686e-08
0.275789     	6.578881e-08
0.278236     	6.584422e-08
0.280674     	6.589041e-08
0.283113     	6.594596e-08
0.285551     	6.599865e-08
0.287989     	6.606358e-08
0.290428     	6.611566e-08
0.292866     	6.617563e-08
0.295305     	6.622591e-08
0.297743     	6.628593e-08
0.300181     	6.633670e-08
0.30262      	6.639226e-08
0.30505      	6.645575e-08
0.30748      	6.650355e-08
0.30991      	6.656042e-08
0.312339     	6.662049e-08
0.314769     	6.668295e-08
0.317199     	6.674953e-08
0.319629     	6.679442e-08
0.322059     	6.684545e-08
0.324489     	6.688335e-08
0.326919     	6.694944e-08
0.329349     	6.700950e-08
0.331779     	6.708300e-08
0.334208     	6.714593e-08
0.336638     	6.722170e-08
0.339068     	6.728257e-08
0.341498     	6.735442e-08
0.343928     	6.741062e-08
0.346358     	6.747993e-08
0.348788     	6.753098e-08
0.351218     	6.762543e-08
0.353648     	6.765857e-08
0.356078     	6.773274e-08
0.358507     	6.778356e-08
0.360937     	6.785446e-08
0.363367     	6.790053e-08
0.365797     	6.797367e-08
0.368227     	6.802740e-08
0.370657     	6.810154e-08
0.373087     	6.815167e-08
0.375517     	6.820213e-08
0.377947     	6.824692e-08
0.380377     	6.832971e-08
0.382806     	6.836739e-08
0.385236     	6.844395e-08
0.387666     	6.849215e-08
0.390096     	6.857783e-08
0.392526     	6.863677e-08
0.394966     	6.870607e-08
0.397405     	6.877865e-08
0.399845     	6.887137e-08
0.402285     	6.893395e-08
0.404724     	6.902194e-08
0.407164     	6.910203e-08
0.409604     	6.918971e-08
0.412043     	6.925848e-08
0.414483     	6.934736e-08
0.416923     	6.941993e-08
0.419362     	6.952250e-08
0.421802     	6.959656e-08
0.424242     	6.969211e-08
0.426681     	6.977862e-08
0.42911      	6.992370e-08
0.43154      	7.004479e-08
0.433959     	7.017337e-08
0.436378     	7.029540e-08
0.438786     	7.046238e-08
0.441195     	7.061739e-08
0.443593     	7.074952e-08
0.445992     	7.085342e-08
0.44839      	7.098787e-08
0.450778     	7.111201e-08
0.453166     	7.125900e-08
0.455543     	7.141261e-08
0.457921     	7.157567e-08
0.460288     	7.170748e-08
0.462655     	7.186674e-08
0.465012     	7.197752e-08
0.467369     	7.213731e-08
0.469715     	7.231115e-08
0.472062     	7.254196e-08
0.474408     	7.279267e-08
0.476744     	7.299862e-08
0.47908      	7.311799e-08
0.481405     	7.320974e-08
0.483731     	7.328182e-08
0.486046     	7.345214e-08
0.488351     	7.362109e-08
0.490655     	7.381520e-08
0.49295      	7.396786e-08
0.495234     	7.412007e-08
0.497508     	7.427481e-08
0.499781     	7.438338e-08
0.502045     	7.457998e-08
0.504298     	7.478000e-08
0.506541     	7.489631e-08
0.508784     	7.502527e-08
0.511017     	7.513342e-08
0.513239     	7.520303e-08
0.515462     	7.530991e-08
