# Region type : patch bottom
# Faces  :   1000
# Area   :   6.239977e-01
# Time       	sumDirection(phi)
0.0119048    	0.000000e+00
0.0133951    	3.842406e-06
0.0148787    	3.175913e-07
0.0163646    	1.551602e-07
0.0178527    	9.023275e-08
0.0193408    	7.863062e-08
0.0208289    	7.165337e-08
0.0223147    	6.725071e-08
0.0238006    	6.426569e-08
0.0252842    	6.212689e-08
0.0267655    	6.049339e-08
0.0282468    	5.925739e-08
0.0297259    	5.831147e-08
0.031205     	5.758346e-08
0.032684     	5.704243e-08
0.0341631    	5.657805e-08
0.0356422    	5.622227e-08
0.037119     	5.606722e-08
0.0385958    	5.591687e-08
0.0400726    	5.584515e-08
0.0415494    	5.584282e-08
0.0430263    	5.580217e-08
0.0445031    	5.579343e-08
0.0459776    	5.577249e-08
0.0474521    	5.578716e-08
0.0489244    	5.585136e-08
0.0503966    	5.589897e-08
0.0518666    	5.595162e-08
0.0533366    	5.603956e-08
0.0548043    	5.605109e-08
0.0562697    	5.609481e-08
0.0577351    	5.613925e-08
0.0591983    	5.621988e-08
0.0606614    	5.634730e-08
0.0621223    	5.648829e-08
0.0635831    	5.655038e-08
0.0650417    	5.655555e-08
0.0665003    	5.659792e-08
0.0679566    	5.663994e-08
0.069413     	5.668078e-08
0.0708693    	5.670806e-08
0.0723233    	5.671631e-08
0.0737774    	5.675807e-08
0.0752314    	5.677905e-08
0.0766832    	5.679831e-08
0.0781349    	5.682914e-08
0.0795844    	5.683963e-08
0.0810339    	5.684852e-08
0.082481     	5.686913e-08
0.083926     	5.689441e-08
0.0853709    	5.692356e-08
0.0868135    	5.696260e-08
0.0882539    	5.688078e-08
0.0896919    	5.679510e-08
0.0911278    	5.677046e-08
0.0925636    	5.674955e-08
0.0939971    	5.672500e-08
0.0954284    	5.672204e-08
0.0968574    	5.671822e-08
0.0982842    	5.669778e-08
0.0997087    	5.670909e-08
0.101133     	5.673399e-08
0.102555     	5.676503e-08
0.103975     	5.680409e-08
0.105393     	5.688044e-08
0.106811     	5.694814e-08
0.108227     	5.702453e-08
0.10964      	5.711935e-08
0.111051     	5.719219e-08
0.11246      	5.728747e-08
0.113868     	5.737340e-08
0.115275     	5.746850e-08
0.116679     	5.756419e-08
0.118081     	5.767509e-08
0.119481     	5.776044e-08
0.120879     	5.788543e-08
0.122274     	5.800326e-08
0.123668     	5.811412e-08
0.125059     	5.822353e-08
0.126447     	5.832585e-08
0.127834     	5.842636e-08
0.129218     	5.853072e-08
0.130603     	5.863640e-08
0.131985     	5.875282e-08
0.133365     	5.888354e-08
0.134743     	5.900244e-08
0.136118     	5.912437e-08
0.137492     	5.925263e-08
0.138865     	5.936866e-08
0.140236     	5.948650e-08
0.141605     	5.962949e-08
0.142972     	5.977925e-08
0.144339     	5.991832e-08
0.145704     	6.005307e-08
0.147066     	6.018438e-08
0.148429     	6.032623e-08
0.149789     	6.046358e-08
0.151147     	6.057620e-08
0.152506     	6.070530e-08
0.153862     	6.084943e-08
0.155215     	6.099655e-08
0.156567     	6.116607e-08
0.157917     	6.133351e-08
0.159266     	6.150813e-08
0.160613     	6.166381e-08
0.161959     	6.186513e-08
0.163304     	6.205314e-08
0.164647     	6.223880e-08
0.165988     	6.243693e-08
0.167328     	6.263104e-08
0.168667     	6.281183e-08
0.170004     	6.300556e-08
0.17134      	6.320504e-08
0.172675     	6.339361e-08
0.174009     	6.359725e-08
0.175341     	6.382450e-08
0.176673     	6.402996e-08
0.178004     	6.422407e-08
0.179334     	6.442742e-08
0.180662     	6.462133e-08
0.18199      	6.481160e-08
0.183315     	6.500171e-08
0.184641     	6.520432e-08
0.185965     	6.539705e-08
0.187288     	6.559673e-08
0.188612     	6.579572e-08
0.189934     	6.600037e-08
0.191255     	6.619548e-08
0.192574     	6.638165e-08
0.193894     	6.656746e-08
0.195211     	6.673936e-08
0.196528     	6.691462e-08
0.197845     	6.707828e-08
0.19916      	6.722885e-08
0.200475     	6.736644e-08
0.201788     	6.752006e-08
0.203101     	6.765646e-08
0.204414     	6.777377e-08
0.205727     	6.790574e-08
0.207037     	6.803042e-08
0.208348     	6.816005e-08
0.209659     	6.828618e-08
0.210969     	6.840664e-08
0.212278     	6.853079e-08
0.213586     	6.865652e-08
0.214895     	6.878526e-08
0.216203     	6.885025e-08
0.217512     	6.894564e-08
0.21882      	6.899752e-08
0.220129     	6.908793e-08
0.221437     	6.918713e-08
0.222746     	6.928494e-08
0.224054     	6.937596e-08
0.225363     	6.946439e-08
0.226671     	6.955443e-08
0.22798      	6.964087e-08
0.229288     	6.973555e-08
0.230595     	6.980642e-08
0.231901     	6.988432e-08
0.233205     	6.996191e-08
0.234509     	7.003580e-08
0.235811     	7.009638e-08
0.237113     	7.014416e-08
0.238412     	7.019102e-08
0.239712     	7.023154e-08
0.24101      	7.025966e-08
0.242307     	7.032766e-08
0.243602     	7.037749e-08
0.244897     	7.043884e-08
0.24619      	7.050579e-08
0.247483     	7.056804e-08
0.248776     	7.065264e-08
0.250067     	7.071595e-08
0.251358     	7.080086e-08
0.252646     	7.088676e-08
0.253933     	7.098167e-08
0.255219     	7.108765e-08
0.256503     	7.119037e-08
0.257785     	7.128123e-08
0.259067     	7.138143e-08
0.260347     	7.147829e-08
0.261626     	7.162997e-08
0.262904     	7.175572e-08
0.264181     	7.179499e-08
0.265456     	7.182836e-08
0.266729     	7.192527e-08
0.268        	7.206731e-08
0.269269     	7.214796e-08
0.270538     	7.222220e-08
0.271804     	7.224657e-08
0.273068     	7.244607e-08
0.274332     	7.264592e-08
0.275594     	7.286400e-08
0.276857     	7.310636e-08
0.278116     	7.335125e-08
0.279376     	7.360189e-08
0.280636     	7.381233e-08
0.281896     	7.398252e-08
0.283153     	7.416333e-08
0.284411     	7.432781e-08
0.285667     	7.452432e-08
0.28692      	7.474837e-08
0.288173     	7.501688e-08
0.289426     	7.527065e-08
0.290679     	7.558832e-08
0.291933     	7.584115e-08
0.293179     	7.613662e-08
0.294419     	7.644317e-08
0.295653     	7.681686e-08
0.29688      	7.711392e-08
0.298101     	7.734726e-08
0.299315     	7.747554e-08
0.300523     	7.771346e-08
0.301725     	7.805328e-08
0.302921     	7.836745e-08
0.30411      	7.865173e-08
0.305294     	7.895869e-08
0.306471     	7.927307e-08
0.307643     	7.960713e-08
0.308808     	7.993125e-08
0.30997      	8.020961e-08
0.311126     	8.048304e-08
0.312278     	8.072137e-08
0.313424     	8.093784e-08
0.314566     	8.119311e-08
0.315705     	8.143430e-08
0.31684      	8.169489e-08
0.317971     	8.190897e-08
0.319098     	8.213228e-08
0.320222     	8.232589e-08
0.321341     	8.261347e-08
0.32246      	8.287921e-08
0.323574     	8.319165e-08
0.324686     	8.353629e-08
0.325797     	8.386678e-08
0.326906     	8.421940e-08
