# Region type : patch top
# Faces  :   120
# Area   :   1.257186e-02
# Time       	sumDirection(phiSub)
0.0119952    	7.498287e-05
0.0160107    	6.042776e-06
0.0196051    	6.970191e-06
0.0234359    	2.869938e-06
0.0273483    	1.197374e-06
0.0312449    	1.337827e-06
0.0351158    	9.242922e-07
0.0389531    	9.673665e-07
0.0427581    	8.449188e-07
0.0465287    	8.230057e-07
0.0502608    	7.755390e-07
0.053956     	7.524729e-07
0.0576169    	7.277768e-07
0.0612454    	7.125886e-07
0.0648408    	7.003842e-07
0.0684036    	6.919510e-07
0.071937     	6.830355e-07
0.0754427    	6.717063e-07
0.0789231    	6.602368e-07
0.0823802    	6.524156e-07
