# Region type : patch top
# Faces  :   120
# Area   :   1.257186e-02
# Time       	sum(phiSub)
0.0119952    	-2.112193e-12
0.0160107    	-1.243720e-13
0.0196051    	1.435954e-13
0.0234359    	2.281905e-13
0.0273483    	-4.356460e-14
0.0312449    	-4.803000e-14
0.0351158    	-3.912144e-14
0.0389531    	-2.316476e-14
0.0427581    	2.860561e-14
0.0465287    	1.624737e-14
0.0502608    	8.647142e-15
0.053956     	4.908135e-14
0.0576169    	-3.864696e-14
0.0612454    	9.198207e-14
0.0648408    	6.161978e-14
0.0684036    	6.087646e-14
0.071937     	2.326990e-14
0.0754427    	4.599683e-14
0.0789231    	4.353679e-14
0.0823802    	6.628961e-14
