# Region type : patch bottom
# Faces  :   120
# Area   :   1.257186e-02
# Time       	sum(phi)
0.0119952    	0.000000e+00
0.0160107    	-1.376429e-21
0.0196051    	-7.940934e-23
0.0234359    	3.887749e-23
0.0273483    	9.926167e-23
0.0312449    	-7.279189e-23
0.0351158    	-7.940934e-23
0.0389531    	-6.617445e-24
0.0427581    	-1.323489e-23
0.0465287    	0.000000e+00
0.0502608    	4.632211e-23
0.053956     	0.000000e+00
0.0576169    	-2.316106e-23
0.0612454    	1.985233e-23
0.0648408    	1.654361e-23
0.0684036    	1.654361e-23
0.071937     	2.316106e-23
0.0754427    	-1.985233e-23
0.0789231    	-2.977850e-23
0.0823802    	-6.617445e-24
