# Region type : patch bottom
# Faces  :   120
# Area   :   1.257186e-02
# Time       	sumDirection(phi)
0.0119952    	0.000000e+00
0.0160107    	2.474435e-05
0.0196051    	1.994116e-06
0.0234359    	2.300163e-06
0.0273483    	9.470795e-07
0.0312449    	3.951334e-07
0.0351158    	4.414831e-07
0.0389531    	3.050164e-07
0.0427581    	3.192309e-07
0.0465287    	2.788232e-07
0.0502608    	2.715919e-07
0.053956     	2.559279e-07
0.0576169    	2.483161e-07
0.0612454    	2.401664e-07
0.0648408    	2.351543e-07
0.0684036    	2.311268e-07
0.071937     	2.283438e-07
0.0754427    	2.254017e-07
0.0789231    	2.216631e-07
0.0823802    	2.178782e-07
